"Character","Source","SB Ver","Img","Name","Brave","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Brave Condition","Name (JP)","ID","GL","✓"
"Sarah","Crystal's Gleam","USB2","","Heal Melody","0","WHT","Single ally","Magical","1.20","Holy","0.01","Restores HP (25), damages undeads","Y","Lowest HP% ally","75","White Magic","White Magic, Bard","ヒールメロディ","30542217","✓","✓"
"Sarah","Crystal's Gleam","USB2","","Heal Melody","1","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","Y","All allies","75","White Magic","White Magic, Bard","ヒールメロディ","30542218","✓","✓"
"Sarah","Crystal's Gleam","USB2","","Heal Melody","2","WHT","All allies","","","","0.01","Restores HP (55)","Y","All allies","75","White Magic","White Magic, Bard","ヒールメロディ","30542219","✓","✓"
"Sarah","Crystal's Gleam","USB2","","Heal Melody","3","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (55), damages undeads, grants [Instant Cast 1]","Y","All allies","75","White Magic","White Magic, Bard","ヒールメロディ","30542310","✓","✓"
"Wol","Sudden Smite","USB2","","Shadowstrike","0","PHY","Single enemy","Physical","1.92","Earth, Holy","1.65","One single attack (1.92)","Y","Lowest HP% enemy","75","Heavy","Heavy","サドンストライク","30549193","✓","✓"
"Wol","Sudden Smite","USB2","","Shadowstrike","1","PHY","Single enemy","Physical","3.12","Earth, Holy","1.65","Three single attacks (1.04), [DEF -40%] for 15 seconds","Y","Lowest HP% enemy","75","Heavy","Heavy","サドンストライク","30549194","✓","✓"
"Wol","Sudden Smite","USB2","","Shadowstrike","2","PHY","Single enemy","Physical","5.94","Earth, Holy","1.65","Six single attacks (0.99), [DEF -40%] for 15 seconds","Y","Lowest HP% enemy","75","Heavy","Heavy","サドンストライク","30549195","✓","✓"
"Wol","Sudden Smite","USB2","","Shadowstrike","3","PHY","Single enemy","Physical","8.80","Earth, Holy","1.65","Ten single attacks (0.88), [ATK, DEF and MAG -70%] for 8 seconds","Y","Lowest HP% enemy","75","Heavy","Heavy","サドンストライク","30549196","✓","✓"
"Firion","Fervid Blazer","USB2","","Trinity Arts","0","PHY","Single enemy","Physical","1.90","Holy, Ice, Fire","1.65","One single attack (1.90)","Y","Lowest HP% enemy","75","Samurai","Samurai","トリニティアーツ","30549111","✓","✓"
"Firion","Fervid Blazer","USB2","","Trinity Arts","1","PHY","Single enemy","Physical","3.15","Holy, Ice, Fire","1.65","One single attack (3.15) capped at 99999","Y","Lowest HP% enemy","75","Samurai","Samurai","トリニティアーツ","30549112","✓","✓"
"Firion","Fervid Blazer","USB2","","Trinity Arts","2","PHY","Single enemy","Physical","6.30","Holy, Ice, Fire","1.65","One single attack (6.30) capped at 99999","Y","Lowest HP% enemy","75","Samurai","Samurai","トリニティアーツ","30549113","✓","✓"
"Firion","Fervid Blazer","USB2","","Trinity Arts","3","PHY","Single enemy","Physical","9.85","Holy, Ice, Fire","1.65","One single attack (9.85) capped at 99999","Y","Lowest HP% enemy","75","Samurai","Samurai","トリニティアーツ","30549114","✓","✓"
"Leon","Weapon of Darkness","USB2","","Corrupt Blade","0","PHY","Single enemy","Physical","1.92","Dark","1.65","One single attack (1.92)","Y","Lowest HP% enemy","75","Darkness","Dark","背徳の剣","30549564","✓","✓"
"Leon","Weapon of Darkness","USB2","","Corrupt Blade","1","PHY","Single enemy","Physical","3.85","Dark","1.65","One single attack (3.85) capped at 99999, damages the user for 25% max HP, [DEF -30%] for 15 seconds","Y","Lowest HP% enemy","75","Darkness","Dark","背徳の剣","30549565","✓","✓"
"Leon","Weapon of Darkness","USB2","","Corrupt Blade","2","PHY","Single enemy","Physical","7.70","Dark","1.65","One single attack (7.70) capped at 99999, damages the user for 25% max HP, [DEF -30%] for 15 seconds","Y","Lowest HP% enemy","75","Darkness","Dark","背徳の剣","30549566","✓","✓"
"Leon","Weapon of Darkness","USB2","","Corrupt Blade","3","PHY","Single enemy","Physical","12.00","Dark","1.65","One single attack (12.00) capped at 99999, damages the user for 25% max HP, [DEF and RES -70%] for 8 seconds","Y","Lowest HP% enemy","75","Darkness","Dark","背徳の剣","30549567","✓","✓"
"Ricard","Last Dragoon","AASB1","","Deist's Pride","0","NAT","All allies","","","","0.01","Grants [Jump Quick Cast 1]","N","All allies","75","Combat","Dragoon","ディストの誇り","31540048","✓","✓"
