"Character","Source","SB Ver","Img","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","GL","✓"
"Tyro","Keeper's Tome","BSB1","","Book of Despair","PHY","Single enemy","Physical","2.10","-","1.65","One single attack (2.10), [ATK and MAG -20%] for 15 seconds","Y","Random enemy","60","Support","戦意喪失の章","30510071","✓","✓"
"Tyro","Keeper's Tome","BSB1","","Book of Retribution","PHY","Single enemy","Physical","2.10","-","1.65","One single attack (2.10), [DEF and RES -20%] for 15 seconds","Y","Random enemy","60","Support","因果応報の章","30510072","✓","✓"
"Elarra","Magika Coat","BSB1","","Pulchra Magika","NAT","Self","","","","1.65","[MND +20%] for 25 seconds, grants [Quick Cast 3]","Y","Self","50","White Magic","フロース・プルクラ","30512521","✓","✓"
"Elarra","Magika Coat","BSB1","","Fomenta Magika","WHT","All allies","Magical","2.00","Holy","1.65","Restores HP (25), damages undeads","Y","All allies","50","White Magic","フロース・オドル","30512522","✓","✓"
"Warrior of Light","Ultimate Shield","BSB1","","Stroke of Light","PHY","Single enemy","Physical","2.40","Holy, NE","1.65","1/2/3/4/5 single attacks (0.48 each) at 327/654/1700/2490 DEF","Y","Lowest HP% enemy","50","Knight","ストライクオブライト","30510542","✓","✓"
"Warrior of Light","Ultimate Shield","BSB1","","Crystalize","PHY","All enemies","Physical","1.30","Holy, NE","1.65","Two group attacks (0.65 each), [DEF +50%] to the user for 25 seconds","Y","All enemies","50","Knight","クリスタルフォーム","30510541","✓","✓"
"Garland","Dark Rebirth","BSB1","","Deathblow","PHY","Single enemy","Physical","2.30","Dark","1.65","One single attack (2.30), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","50","Darkness","デスクロウ","30510161","✓","✓"
"Garland","Dark Rebirth","BSB1","","Wave of Darkness","PHY","All enemies","Physical","1.26","Dark","1.65","Two group ranged attacks (0.63 each), 80% additional critical chance","Y","All enemies","50","Darkness","やみのつなみ","30510162","✓","✓"
"Garland","Twin Swords","BSB2","","Chain Cast","PHY","Single enemy","Physical","0.80","Dark, NE","1.65","Two single attacks (0.40 each)","Y","Lowest HP% enemy","50","Darkness","チェーンバンプ","30512301","✓","✓"
"Garland","Twin Swords","BSB2","","Twist Drill","PHY","Single enemy","Physical","2.16","Dark, NE","1.65","4/5/6/7 single attacks (0.54/0.89/1.05/1.25 each) scaling with [Chain Cast Uses], 0/5/10/25% additional critical chance","Y","Lowest HP% enemy","50","Darkness","ツイストドリル","30512302","✓","✓"
"Sarah","Age-old Hymn","BSB1","","Inviolate Prayer","WHT","Single ally","Magical","3.00","Holy","0.01","Restores HP (80), grants [High Regen], damages undeads","N","Lowest HP% ally","50","White Magic","清き祈り","30510901","✓","✓"
"Sarah","Age-old Hymn","BSB1","","Simple Plea","WHT","All allies","Magical","2.00","Holy","1.65","Restores HP (25), damages undeads","N","All allies","50","White Magic","ささやかな願い","30510902","✓","✓"
"Wol","Shijin Spiral","BSB1","","Sneaky Attack","PHY","Single enemy","Physical","2.60","-","1.65","Four single attacks (0.65 each), causes [Stun] (9%)","Y","Lowest HP% enemy","50","Combat","トリックアタック","30511491","✓","✓"
"Wol","Shijin Spiral","BSB1","","Break Slayer","PHY","All enemies","Physical","2.40","-","1.65","Two group attacks (1.20 each), [ATK and DEF -20%] for 15 seconds","Y","All enemies","50","Support","ブレイクキラー","30511492","✓","✓"
"Wol","Howl of Hell","BSB2","","Reaver's Impact","PHY","Single enemy","Physical","1.95","Earth, Holy","1.65","Three single attacks (0.65 each), grants [Heavy Charge +1] to the user","Y","Lowest HP% enemy","50","Heavy","ヘルインパクト","30512821","✓","✓"
"Wol","Howl of Hell","BSB2","","Heavy Break","PHY","Single enemy","Physical","2.32","Earth, Holy","1.65","Four single attacks (0.58 each), [ATK and MAG -20%/-30%/-50%] for 15 seconds at Heavy Charge 0/1/2, [Heavy Charge =0] to the user","Y","Random enemy without status","50","Heavy","ヘヴィブレイク","30512822","✓","✓"
"Echo","Echo's Prize","BSB1","","Punishing Thunder","BLK","Single enemy","Magical","10.48","Lightning, NE","1.65","Four single attacks (2.62 each)","Y","Lowest HP% enemy","50","Black Magic","おしおきサンダー","30511501","✓","✓"
