"","Version Damage Type","","","JP Physical","","","","","","","","","","","","","","","","","","","",""
"","Ability Type","","","","","","","","","","","","","","","","","","Damage per hit","","","11,511","",""
"","Target","","","","","","","","","","","","","","","","","","Total damage","","","11,511","",""
"","Ability's multiplier","","","1.00","","","Ignore DEF","","","","","","Chain count","","","0","","","Damage boost","","","30%","",""
"","Number of hits","","","1","","","Ability's scaling modifier","","","0.50","","","Chain multiplier","","","1.00","","","Damage boost","","","0%","",""
"","Damage cap","","","99,999","","","User's effective ATK","","","2,861","","","","","","","","","Damage boost","","","0%","",""
"","Minimum damage factor","","","2,000","","","Target's effective DEF","","","2,000","","","Magicite Empower Lv","","","0","","","Damage boost","","","0%","",""
"","","","","","","","","","","","","","Empower multiplier","","","1.00","","","Damage boost","","","0%","",""
"","User's base ATK","","","1,100","","","Target's base DEF","","","2,000","","","","","","","","","Damage boost","","","0%","",""
"","","","","","","","","","","","","","Hand of Vengeance Lv","","","0","","","Damage boost","","","0%","",""
"","","","","","","","Target's Protect","","","","","","User's HP%","","","100%","","","Damage boost","","","0%","",""
"","Target's ATK mult.","","","2.90","","","Target's DEF mult.","","","1.00","","","Vengeance multiplier","","","1.00","","","Damage boost","","","0%","",""
"","Capped ATK mult.","","","2.60","","","Capped DEF mult.","","","1.00","","","","","","","","","Damage boost","","","0%","",""
"","","","","","","","","","","","","","Rising Power Lv","","","0","","","","","","","",""
"","Attack Boon Lv","","","0","","","Defense Boon Lv","","","0","","","User's HP","","","10,000","","","Critical attack","","","","",""
"","Magicites total ATK","","","0","","","Magicites total DEF","","","0","","","Rising Power multiplier","","","1.00","","","Critical coefficient","","","1.50","",""
"","Attack Boon bonus","","","0","","","Defense Boon bonus","","","0","","","","","","","","","Critical damage buff","","","0.50","",""
"","","","","","","","","","","","","","Damage Push Lv","","","0","","","Magicite Deadly Strikes Lv","","","0","",""
"","User's total ATK","","","2,861","","","Target's total DEF","","","2,000","","","Damage Push multiplier","","","1.00","","","Critical multiplier","","","1.00","",""
"","Equipment elem. boost","","","0%","","","Equipment elem. res.","","","0%","","","Magicite Blade Ward Lv","","","0","","","Row mitigation","","","","",""
"","Attach Elem. boost","","","0%","","","Attach Elem. res.","","","","","","Blade Ward multiplier","","","1.00","","","Row multiplier","","","1.00","",""
"","Chain Field boost","","","0%","","","Default elem. profile","","","100%","","","","","","","","","","","","","",""
"","Buff/Debuff mod.","","","0%","","","Imperil/Resist mod.","","","0%","","","Magicite Dampen Lv","","","0","","","Defend","","","","",""
"","Elem. boost multiplier","","","1.00","","","Elem. res. multiplier","","","1.00","","","Dampen multiplier","","","1.00","","","Defend multiplier","","","1.00","",""
"","ATK converter","","","","","","Multiplier converter","","","","","","User's base DEF","","","500","","","","","","","",""
"","ATK/DEF -> ATK","","","","","","ATK -> mult.","","","","","","User's total DEF","","","3,000","","","","","","","",""
"","HP% -> xATK","","","","","","Hits -> mult.","","","","","","User's HP%","","","100%","","","","","","","",""
"","HP% -> +ATK","","","","","","Uses -> mult.","","","","","","Buildup counter","","","0","","","","","","","",""
"","","","","","","","Targets -> mult.","","","","","","","","","","","","Softcap factor 1","","","6,000","",""
"","","","","","","","Doom -> mult.","","","","","","Converted ATK","","","2,861","","","Softcap factor 2","","","7,400","",""
"","","","","","","","HP% -> mult.","","","","","","Converted ability's mult.","","","1.00","","","Base damage","","","8,855","",""
