"Realm","Img","Name","HP","ATK","DEF","MAG","RES","MND","ACC","EVA","SPD","HP - 99","ATK - 99","DEF - 99","MAG - 99","RES - 99","MND - 99","ACC - 99","EVA - 99","SPD - 99","HP - RS","ATK - RS","DEF - RS","MAG - RS","RES - RS","MND - RS","HP - LS","ATK - LS","DEF - LS","MAG - LS","RES - LS","MND - LS","SPD - LS","HP - RB","ATK - RB","DEF - RB","MAG - RB","RES - RB","MND - RB","SPD - RB","HP - CW","ATK - CW","DEF - CW","MAG - CW","RES - CW","MND - CW","HP - Mastery","ATK - Mastery","DEF - Mastery","MAG - Mastery","RES - Mastery","MND - Mastery","SPD - Mastery","Dagger","Sword","Katana","Axe","Hammer","Spear","Fist","Rod","Staff","Bow","Instrument","Whip","Thrown","Gun","Book","Blitzball","Hairpin","Gun-arm","Gambling Gear","Doll","Keyblade","Shield","Hat","Helm","Light Armor","Heavy Armor","Robe","Bracer","Accessory","Black Magic","White Magic","Combat","Support","Celerity","Summoning","Spellblade","Dragoon","Monk","Thief","Knight","Samurai","Ninja","Bard","Dancer","Machinist","Darkness","Sharpshooter","Witch","Heavy","ID"
"Core","","Tyro","18845","581","248","419","231","271","25","25","180","6800","131","130","130","130","130","25","25","130","1145","25","28","24","11","21","500","30","20","30","20","30","0","9200","190","40","190","40","60","50","1200","30","30","30","30","30","0","175","0","15","0","0","0","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","Y","Y","Y","Y","Y","Y","Y","Y","5","5","5","5","5","5","5","5","5","5","5","5","5","5","6","5","6","6","6","6","10000200"
"Core","","Warrior","7200","184","184","113","113","113","25","25","95","6000","154","154","83","83","83","25","25","95","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","Y","","Y","Y","","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","","","5","","","","","","","","","","","","","","","","","","10000300"
"Core","","Knight","6299","148","195","148","148","148","25","25","95","5099","118","165","118","118","118","25","25","95","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","Y","","Y","Y","","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","Y","Y","","","4","","","","","","","","5","","","","","","","","","","10000400"
"Core","","Monk","6700","193","140","113","146","148","25","25","136","5500","163","110","83","116","118","25","25","136","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","","","","","","Y","","","","","","","","","","","","","","","","Y","","Y","","","Y","Y","","","","","","","","","5","","","","","","","","","","","","10000600"
"Core","","Red Mage","5249","127","115","173","171","173","25","25","118","4049","97","85","143","141","143","25","25","118","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","Y","","","","Y","","Y","Y","Y","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","4","4","","","","","","","","","","","","","","","","","","","10000900"
"Core","","Black Mage","4700","125","101","184","184","148","25","25","118","3500","95","71","154","154","118","25","25","118","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","","","","","","","Y","","","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","4","","","","","","","","","","","","","","","","","","","","10001100"
"Core","","Magus","5249","113","113","207","202","160","25","25","107","4049","83","83","177","172","130","25","25","107","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","","","","","","","Y","Y","","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","5","","","","","","","","","","","","","","","","","","","","10001200"
"Core","","White Mage","5200","125","113","148","196","184","25","25","118","4000","95","83","118","166","154","25","25","118","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","","","","","","","","Y","","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","","4","","","","","","","","","","","","","","","","","","","10001400"
"Core","","Devout","5825","113","113","180","199","207","25","25","107","4625","83","83","150","169","177","25","25","107","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","","","","","","","Y","Y","","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","","5","","","","","","","","","","","","","","","","","","","10001500"
"Core","","Summoner","4649","114","100","183","193","161","25","25","118","3449","84","70","153","163","131","25","25","118","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1200","30","30","30","30","30","0","0","0","0","0","0","0","Y","","","","","","","Y","Y","Y","","","","","","","","","","","","","Y","","Y","","Y","Y","Y","4","","","","","5","","","","","","","","","","","","","","","10001700"
