"Character","Source","SB Ver","Img","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","GL","✓"
"Dr. Mog","Radiant Rainbow Magic","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","","Fire, Ice Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","Six single attacks (? each) capped at 19999, grants [Magic Damage +15% 1] to all allies, grants [Damage Cap +10000], [Instant Cast 1], [200% ATB 1], and [50% DEF/RES Pierce 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","","","✓"
"Wedge","Radiant Flying Star","CASB1","","Crystal Force I & II","NAT","Single enemy","Hybrid","","Wind, NE","0.01","6 single hybrid attacks (2.00 or 6.60 each) capped at 19999, inflicts [Imperil Wind 10% (15s)], grants [Damage Cap +10000 2], [Quick Cast 2], [DEF and RES 50% Piercing 2], and [200% ATB 1] to the user","N","Lowest HP% enemy","","","クリスタルフォース","31544181","","✓"
"Sephiroth","Radiant Crimson Lotus","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","10.00","Fire, NE","0.01","One single attack (10.00) capped at 199,999, grants [Damage Cap +20000 1], [Fire +30% Boost 1], [Instant Cast 1], [DEF and RES 50% Piercing 1] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543386","","✓"
"Terra","Radiant Magitek Inferno","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","34.60","Fire, NE","0.01","One single attack (34.60) capped at 199,999, grants [Damage Cap +20000 2], [Fire Ability Instant Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543384","","✓"
"Kain","Radiant Rising Drive","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","10.00","Lightning, NE","0.01","One single ranged jump attack (10.00) capped at 199,999, grants [Damage Cap +20000 1], [Dragoon +50% Boost 1], [Dragoon Quick Cast 1], [DEF and RES 50% Piercing 1] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543380","","✓"
"Onion Knight","Radiant Sagespell Wind","CASB1","","Crystal Force I & II","BLK","Single enemy","Magical","34.60","Wind, NE","0.01","One single attack (34.60) capped at 199,999, grants [Magical +20% Boost 1] to all allies, grants [Damage Cap +10000 1], [Instant Cast 1], [DEF and RES 50% Piercing 1] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543378","","✓"
"Onion Knight","Radiant Forbidden Power","CASB2","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Wind, Water, Fire, Earth, NE","0.01","Six single attacks (2.00 each) capped at 19999, grants [Damage Cap +10000 2], [Celerity and Ninja +30% Boost 2], [DEF and RES 50% Piercing 2], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544593","","✓"
"Noctis","Radiant Ignis Link","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Fire, NE","0.01","Six single attacks (2.00 each) capped at 19,999, grants [Damage Cap +10000 2], [Physical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543372","","✓"
"Rydia","Radiant Rock-breaker","CASB1","","Crystal Force I & II","SUM","Single enemy","Magical","34.60","Earth, NE","0.01","One single attack (34.60) capped at 199,999, grants [Damage Cap +10000 2], [Magical +30% Boost 2], [Quick Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543381","","✓"
"Faris","Radiant Phantom","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","16.00","Wind, Fire, NE","0.01","Eight single ranged attacks (2.00 each) capped at 19,999, causes [ATK, DEF, MAG, RES and MND -50% (8s)] to the target, grants [Damage Cap +10000 2], [Instant Cast 2], [DEF and RES 50% Piercing 2] and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543382","","✓"
