"For Local Copy use only","","Crystals Required","","","","","","","","","","","","","","Crystal Type","Have","For Goal","Need","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ability","Starting Rank","Desired Rank","","","","","","","","","","","","","","Power","","0","0","","","","","","Cry1","","Cry2","","Cry3","","","","","","","","","","","","","","","","","Hone levels for validation","",""
"Ultima","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","White","","0","0","","","42","0","0","Black Crystal","0","Non-Elemental Crystal","0","Fire Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","R0","",""
"Meltdown","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","Black","","0","0","","","43","0","0","Black Crystal","0","Fire Crystal","0","Earth Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","R1","",""
"Chain Blizzaja","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","Summon","","0","0","","","45","0","0","Black Crystal","0","Non-Elemental Crystal","0","Ice Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","R2","",""
"Chain Firaja","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","NE","","0","0","","","47","0","0","Black Crystal","0","Non-Elemental Crystal","0","Fire Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","R3","",""
"Chain Thundaja","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","Fire","","0","0","","","54","0","0","Black Crystal","0","Lightning Crystal","0","Wind Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","R4","",""
"Chain Waterja","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","Ice","","0","0","","","57","0","0","Black Crystal","0","Fire Crystal","0","Ice Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","R5","",""
"Voltech","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","Lightning","","0","0","","","59","0","0","Black Crystal","0","Ice Crystal","0","Lightning Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Chain Stoneja","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","Earth","","0","0","","","60","0","0","Black Crystal","0","Earth Crystal","0","Dark Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Chain Tornado","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","Wind","","0","0","","","61","0","0","Black Crystal","0","Non-Elemental Crystal","0","Wind Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Onion Wizardry (Onion Knight Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","Holy","","0","0","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Explosion VIII (Maria Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","Dark","","0","0","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Ultima Arrow (Serah Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Firaga RF (Ace Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Cleansing (Krile Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Jolt (Alisaie Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Riot Blade (Terra Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Earth Rave (Red XIII Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Whirlwind (Barbariccia Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Pallida Mors (Meia Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Maelstrom's Bolt (Ashe Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Doublecast Fira (Vivi Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Curada","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","71","0","0","White Crystal","0","Earth Crystal","0","Holy Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Reraise","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","101","0","0","White Crystal","0","Wind Crystal","0","Holy Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Holyja","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","106","0","0","White Crystal","0","Ice Crystal","0","Holy Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"De'Diaja","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","107","0","0","White Crystal","0","Non-Elemental Crystal","0","Holy Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Holy VIII (Minwu Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Siphon Sphere (Rem Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Tycoon Cure (Lenna Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Healing Wind (Aerith Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Pray (Rosa Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Repair (Aphmau Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Oerba's Boon (Vanille Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Pocket Potion (Iris Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Crushdown","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","125","0","0","Power Crystal","0","Fire Crystal","0","Earth Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Omega Drive","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","128","0","0","Power Crystal","0","Fire Crystal","0","Dark Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Shifting Earth (Noctis Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Quadruple Foul","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","152","0","0","Power Crystal","0","Non-Elemental Crystal","0","Lightning Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Affliction Break","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","153","0","0","Power Crystal","0","Non-Elemental Crystal","0","Dark Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Judgment Grimoire (Tyro Only)","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Northern Cross","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","166","0","0","Power Crystal","0","Ice Crystal","0","Wind Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Dervish","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","168","0","0","Power Crystal","0","Lightning Crystal","0","Wind Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Flash Disaster","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","171","0","0","Power Crystal","0","Lightning Crystal","0","Wind Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Ripping Plasma","R0","R0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","173","0","0","Power Crystal","0","Non-Elemental Crystal","0","Lightning Crystal","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
