"Character","Source","LB Ver","Name","Guardian Ability Slot","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","GL","✓"
"Rydia","Guardian Titan","LBGS1","Guardian Gaia's Shelter","1","BLK","All enemies","Magical","28.00","Earth, NE","0.01","Two group attacks (14.00 each), grants [75% Damage Reduction Barrier 2] to the user","Y","All enemies","0","Black Magic","Gだいちのまもり","31540972","✓","✓"
"Rydia","Guardian Titan","LBGS1","Guardian Gaia's Force","2","BLK","All enemies","Magical","45.00","Earth, NE","0.01","One single attack (45.00) capped at 99999","Y","All enemies","0","Black Magic","Gだいちのいちげき","31540973","✓","✓"
"Rydia","Guardian Titan","LBGS1","Guardian Gaia's Wrath","Finisher","BLK","All enemies","Magical","251.00","Earth, NE","0.01","Ten group attacks (19.00 each), followed by one group attack (61.00) capped at 99999, removes [Guardian Summon Mode] from the user","N","All enemies","0","-","Gだいちのいかり","20090027","✓","✓"
"Faris","Guardian Syldra","LBGS1","Guardian Aero Storm","1","PHY","All enemies","Physical","35.10","Wind, NE","0.01","Six group ranged attacks (5.85 each), causes [Imperil Wind 10% (15s)]","Y","All enemies","60","Combat","Gエアロストーム","31542056","","✓"
"Faris","Guardian Syldra","LBGS1","Guardian Wind Storm","2","PHY","All enemies","Physical","19.00","Wind, NE","0.01","One group ranged attack (19.00) capped at 99999, grants [Buff Wind 20% (15s)] and [Damage Cap +10000] to the user","Y","All enemies","60","Combat","Gウインドストーム","31542057","","✓"
"Faris","Guardian Syldra","LBGS1","Guardian Thunderstorm","Finisher","PHY","Single enemy","Physical","100.40","Wind, Fire, NE","0.01","Ten single ranged attacks (7.60 each), followed by one single ranged attack (24.40) capped at 99999, removes [Guardian Summon Mode] from the user, grants [Quick Cast 2] to Faris","N","Lowest HP% enemy","0","-","Gサンダーストーム","20930029","","✓"
"Terra","Guardian Maduin","LBGS1","Guardian Big Bang","1","BLK","Single enemy","Magical","112.00","Fire, NE","0.01","6/8 single attacks (14.00 each) after 1/2+ uses, grants [Fire Ability +50% Boost 1] to the user","Y","Lowest HP% enemy","60","Black Magic","Gビッグバン","31541688","✓","✓"
"Terra","Guardian Maduin","LBGS1","Guardian Terra Volcano","2","BLK","All enemies","Magical","45.00","Fire, NE","0.01","One group attack (45.00) capped at 99999, grants [Buff Fire 30% (15s)] to the user","Y","All enemies","60","Black Magic","Gテラボルケーノ","31541689","✓","✓"
"Terra","Guardian Maduin","LBGS1","Guardian Chaos Wave","Finisher","BLK","All enemies","Magical","251.00","Fire, Wind, NE","0.01","Ten group attacks (19.00 each), followed by one group attack (61.00) capped at 99999, removes [Guardian Summon Mode] from the user","N","All enemies","0","-","Gケイオスウェイブ","20100038","✓","✓"
"Locke","Guardian Phoenix","LBGS1","Guardian Flames of Ascension","1","PHY","All enemies","Physical","12.60","Fire, NE","0.01","Three group attacks (4.20 each), grants [Buff Fire 10% (15s)] and Phoenix Force +1 to the user","Y","All enemies","60","Combat","Gしょうてんのほのお","31540982","✓","✓"
"Locke","Guardian Phoenix","LBGS1","Guardian Explosive Flame","2","PHY","Single enemy","Physical","25.20","Fire, NE","0.01","Six single attacks (4.20 each), grants Phoenix Force +1 to the user","Y","Lowest HP% enemy","60","Combat","Gばくえん","31540983","✓","✓"
"Locke","Guardian Phoenix","LBGS1","Guardian Flames of Rebirth","Finisher","PHY","All enemies","Physical","95.38","Fire, NE","0.01","Ten group attacks (6.46/6.84/7.22 each), followed by one group attack (20.74/21.96/23.18) capped at 99999 at Phoenix Force level 0/1/2, grants [HP Stock (6000)] to all allies, removes KO [Raise: 100%] from all allies, grants [Haste] to all allies, removes [Guardian Summon Mode] from the user","N","All enemies","0","-","Gてんせいのほのお","20240026","✓","✓"
"Cloud","Guardian Choco-Mog","LBGS1","Guardian Choco Kick","1","PHY","Single enemy","Physical","35.10","Wind, NE","0.01","Six single attacks (5.85 each), grants [Damage Cap +10000 1] to the user","Y","Lowest HP% enemy","60","Combat","Gチョコボキック","31541599","✓","✓"
"Cloud","Guardian Choco-Mog","LBGS1","Guardian Choco Meteor","2","PHY","All enemies","Physical","19.00","Wind, NE","0.01","One group attack (19.00) capped at 99999, grants [Buff Wind 30% (15s)] to the user","Y","All enemies","60","Combat","Gチョコメテオ","31541600","✓","✓"
