"Character","Source","Name","LB1 - HP","LB1 - ATK","LB1 - DEF","LB1 - MAG","LB1 - RES","LB1 - MND","LB1 - SPD","LB2 - HP","LB2 - ATK","LB2 - DEF","LB2 - MAG","LB2 - RES","LB2 - MND","LB2 - SPD","LB3 - HP","LB3 - ATK","LB3 - DEF","LB3 - MAG","LB3 - RES","LB3 - MND","LB3 - SPD","Name (JP)","ID","GL","✓"
"Rydia","Guardian Titan","Titan","6500","120","240","1600","240","240","210","9100","160","320","1800","320","320","255","13000","200","400","2000","400","400","300","フェニックス","504001","✓","✓"
"Faris","Guardian Syldra","Syldra","6500","1600","240","120","240","240","210","9100","1800","320","160","320","320","255","13000","2000","400","200","400","400","300","シルドラ","505001","","✓"
"Terra","Guardian Maduin","Maduin","6500","120","240","1600","240","240","210","9100","160","320","1800","320","320","255","13000","200","400","2000","400","400","300","マディン","506003","✓","✓"
"Locke","Guardian Phoenix","Phoenix","6500","1600","240","120","240","240","210","9100","1800","320","160","320","320","255","13000","2000","400","200","400","400","300","タイタン","506001","✓","✓"
"Cloud","Guardian Choco-Mog","Choco-Mog","6500","1600","240","120","240","240","210","9100","1800","320","160","320","320","255","13000","2000","400","200","400","400","300","チョコボ&モーグリ","507002","✓","✓"
"Vincent","Guardian Chaos","Chaos","6500","120","240","1600","240","240","210","9100","160","320","1800","320","320","255","13000","200","400","2000","400","400","300","カオス","507001","","✓"
"Quistis","Guardian Doomtrain","Glasya Labolas","6500","120","240","1600","240","240","210","9100","160","320","1800","320","320","255","13000","200","400","2000","400","400","300","グラシャラボラス","508001","✓","✓"
"Eiko","Guardian Madeen","Madeen","6500","120","240","1600","240","240","210","9100","160","320","1800","320","320","255","13000","200","400","2000","400","400","300","マディーン","509001","✓","✓"
"Yuna","Guardian Valefor","Valefor","6500","120","240","1600","240","240","210","9100","160","320","1800","320","320","255","13000","200","400","2000","400","400","300","ヴァルファーレ","510001","✓","✓"
"Lilisette","Guardian Lady Lilith","Lady Lilith","6500","1600","240","120","240","240","210","9100","1800","320","160","320","320","255","13000","2000","400","200","400","400","300","レディ・リリス","511001","✓","✓"
"Shantotto","Guardian Colossal Shantotto","Colossal Shantotto","6500","120","240","1600","240","240","210","9100","160","320","1800","320","320","255","13000","200","400","2000","400","400","300","C・シャントット","511003","✓","✓"
"Arciela","Guardian Darrcuiln","Darrcuilin","6500","120","240","1600","240","240","210","9100","160","320","1800","320","320","255","13000","200","400","2000","400","400","300","ダラクァルン","511002","","✓"
"Lightning","Guardian Odin","Odin","6500","1600","240","120","240","240","210","9100","1800","320","160","320","320","255","13000","2000","400","200","400","400","300","オーディン","513001","✓","✓"
"Snow","Guardian Shiva","Shiva","6500","1600","240","120","240","240","210","9100","1800","320","160","320","320","255","13000","2000","400","200","400","400","300","シヴァ","513002","","✓"
"Ardyn","Guardian Ifrit","Ifrit","6500","1600","240","120","240","240","210","9100","1800","320","160","320","320","255","13000","2000","400","200","400","400","300","イフリート","515001","✓","✓"
