"Character","Img","Name","HA Ver","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","Uses","Max","Orb 1 Required","1-R1","1-R2","1-R3","1-R4","1-R5","Orb 2 Required","2-R1","2-R2","2-R3","2-R4","2-R5","Orb 3 Required","3-R1","3-R2","3-R3","3-R4","3-R5","School","Name (JP)","ID","✓"
"Tyro","","Judgment Grimoire","HA1","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","1.65","Three single ranged hybrid attacks (1.00 or 3.30 each)","Y","Lowest HP% enemy","120","2","10","Power Crystal","-","10","15","50","75","Black Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Support","断撃のグリモア","30161251","✓"
"Tyro","","Acicular Grimoire","HA2","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","1.65","Five single ranged hybrid attacks (1.10 or 3.50 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","10","15","50","75","Black Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Support","鋭鋒のグリモア","30161321","✓"
"Elarra","","Fabula Heal","HA1","WHT","All allies","","","","1.65","Restores HP (20), smart ether 1 every fourth activation","N","All allies","100","2","10","White Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","ファブラ・ヒール","30121501","✓"
"Biggs","","Boulder Blow","HA1","PHY","Single enemy","Physical","7.10","Earth, Holy","1.65","One single attack (7.10) capped at 99999","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Knight","オレ様流・聖岩裂斬","30211331","✓"
"Biggs","","Unshackled Power","HA2","PHY","Single enemy","Physical","6.60","Earth, Holy","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Knight","オレ様流マッスル全開","30211471","✓"
"Wedge","","Trickster","HA1","NAT","Single enemy","Hybrid","","Wind","1.65","Six single ranged hybrid attacks (1.10 or 3.50 each), removes negative effects from all allies every four uses","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Black Magic","トリックスター","30111571","✓"
"Wedge","","Star Drive","HA2","NAT","Single enemy","Hybrid","","Wind","1.20","4/5/6/7 single hybrid attacks (1.00 or 3.30 each) after 0/1/2/3+ uses. Uses resets with KO.","Y","Lowest HP% enemy","80","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Thief","スタードライブ","30201311","✓"
"Dr. Mog","","Dr. Mog's Secret","HA1","BLK","Single","Magical","13.20","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","1.65","Four single attacks (3.30 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Fire Crystal","-","5","10","25","35","Black Magic","Dr.モグの秘技","30111501","✓"
"Dr. Mog","","Dr. Mog's Trump Card","HA2","SUM","Single enemy","Magical","25.60","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","1.80","One single attack (25.60) capped at 99999, minimum damage 2000","N","Lowest HP% enemy","90","2","6","Summoning Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Fire Crystal","-","5","10","25","35","Summoning","Dr.モグの切り札","30131561","✓"
"Dr. Mog","","Dr. Mog's Water Vortex","HA3","BLK","Single enemy","Magical","","Water","","Six single attacks (? each)","Y","Lowest HP% enemy","","2","10","Black Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Black Magic","Dr.モグの水渦","30111791","✓"
"Shadowsmith","","Chaotic Esper","HA1","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","","Five single ranged hybrid attacks (? or ? each)","?","Lowest HP% enemy","","2","6","Power Crystal","-","5","10","25","35","Summoning Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Summoning","混沌の幻獣","30131651",""
"Warrior of Light","","Radiant Sword","HA1","PHY","Single enemy","Physical","4.00","Holy","1.65","Four single ranged attacks (1.00 each), grants [Buff Holy 10% (15s)] to all allies every third activation","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","10","15","50","75","White Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Knight","レディアントソード","30211211","✓"
"Warrior of Light","","Crossover","HA2","PHY","Single enemy","Physical","6.60","Holy","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Knight","クロスオーバー","30211371","✓"
"Garland","","Chaos Bringer","HA1","PHY","Single enemy","Physical","5.50","Dark","1.65","Five single ranged attacks (1.10 each), grants [ATK +30%, DEF and RES -30% (8s)] to the user","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Darkness","カオスブリンガー","30271281","✓"
"Garland","","Soul of Chaos","HA2","?","Single enemy","Physical","","Dark","","Six single attacks (? each)","?","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Heavy","ソウルオブカオス","30311171",""
"Sarah","","Sacred Prayer","HA1","NAT","All allies","","","","1.65","Restores 1500 HP and grants [10% Damage Reduction Barrier 1]","N","All allies","100","2","10","White Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","聖なる祈り","30121431","✓"
"Sarah","","Healing Melody","HA2","?","All allies","","","","","Restores HP (?)","?","All allies","","2","10","White Crystal","-","5","10","25","35","Earth Crystal","-","10","15","50","75","Holy Crystal","-","5","10","25","35","Bard","癒しの音色","30241181",""
"Wol","","Dancing Edge","HA1","PHY","Single enemy","Physical","5.50","Earth, Holy","3.30","Five single attacks (1.10 each), causes [Imperil Earth 10% (5s)] and [Imperil Holy 10% (5s)] ","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Knight","ダンシングエッジ","30211401","✓"
"Wol","","Arc Slash","HA2","?","Single enemy","Physical","","Earth, Holy","","Six single attacks (? each), ?/?/?/?/? cast time scaling with [Arc Slash Uses]","?","Lowest HP% enemy","","2","10","Power Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Heavy","ラウンドスラッシュ","30311201",""
"Echo","","Echo's Prize","HA1","NAT","All allies","","","","1.65","Restores 800/1100/1400/1700/2000 HP scaling with uses","N","All allies","100","2","10","White Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Dancer","エコーのご褒美","30251161","✓"
"Echo","","Echoing Mischief","HA2","?","Single enemy","Magical","","Lightning","","Four single attacks (? each), causes [DEF and RES -?% (?s)]","?","Lowest HP% enemy","","2","10","Black Crystal","-","10","15","50","75","Lightning Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Dancer","エコーのいたずら","30251191",""
"Master","","Fighting Frenzy","HA1","PHY","Single enemy","Physical","5.75","Earth, Fire, Lightning","1.65","Five single attacks (0.95/1.00/1.05/1.10/1.15 each) scaling with uses, causes [DEF, RES and MND -15% (8s)] to the user","Y","Lowest HP% enemy","90","2","10","Fire Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Earth Crystal","-","10","15","50","75","Monk","闘魂乱舞","30191381","✓"
"Matoya","","Inner Eye","HA1","BLK","Single","Magical","17.10","Fire, Ice, Lightning","2.60","Six single attacks (2.85 each)","Y","Lowest HP% enemy","90","2","10","Fire Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Witch","真眼の魔女","30301141","✓"
"Meia","","Pallida Mors","HA1","BLK","Single enemy","Magical","21.00","Water","1.65","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Black Magic","パッリダ・モルス","30111461","✓"
"Meia","","Surging Wave","HA2","?","Single enemy","Magical","","Water","","Five single attacks (? each), grants [Buff Water 10% (?s)] to the user every second activation","?","Lowest HP% enemy","","2","10","Black Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Ice Crystal","-","10","15","50","75","Witch","グロス・ヴァーグ","30301291",""
"Thief (I)","","Invisibreak","HA1","PHY","Single enemy","Physical","6.60","Wind, Poison","2.40","Six single attacks (1.10 each), cast time 2.40/2.00/1.60/1.20 scaling with [Invisibreak Uses]","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Thief","インビジブレイク","30201241","✓"
"Firion","","Wild Rose","HA1","PHY","Single enemy","Physical","4.00","Holy, Ice, Fire","1.65","Four single attacks (1.00 each), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Samurai","のばら","30221211","✓"
"Firion","","Lord of Arms","HA2","PHY","Single enemy","Physical","5.50","Holy, Ice, Fire","1.65","Five single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Samurai","ロードオブアームズ","30221271","✓"
"Maria","","Kerplode VIII","HA1","BLK","Single","Magical","21.00","Earth","1.80","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Black Magic","ばくは8","30111381","✓"
"Guy","","Gigantbreak","HA1","PHY","Single enemy","Physical","5.50","Earth","1.65","Five single attacks (1.10 each), causes [Imperil Earth 10% (5s)]","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Earth Crystal","-","10","15","50","75","Monk","ギガントブレイク","30191401","✓"
"Leon","","Darkness Breaker","HA1","PHY","Single enemy","Physical","6.60","Dark","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Darkness","ダークネスブレイカー","30271361","✓"
"Minwu","","Holy VII","HA1","WHT","Single","Magical","21.30","Holy","1.65","Six single attacks (3.55 each)","Y","Lowest HP% enemy","90","2","10","White Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","ホーリー8","30121341","✓"
"Minwu",""," Seal of Heaven","HA2","WHT","Single enemy","Magical","10.05","Holy","1.65","Four single attacks (3.35), causes [Imperil Holy 10% (15s)] every second activation","Y","Lowest HP% enemy","90","2","10","White Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","天命の解印","30121581","✓"
