"Character","Realm","Season","Group","Set Bonus (2 Piece)","Set Bonus (3 Piece)"
"Wedge","Core","1","B","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Dr. Mog","Core","4","O","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Master","I","2","E","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Matoya","I","2","E","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Meia","I","2","F","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Garland","I","3","I","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Thief (I)","I","3","L","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Wol","I","4","R","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Warrior of Light","I","5","3","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Echo","I","5","3","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Sarah","I","5","3","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [White Magic Heals +30% Boost 3] at the beginning of the battle"
"Guy","II","1","A","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Emperor","II","1","A","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Firion","II","1","C","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Ricard","II","3","K","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Leila","II","2","F","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Leon","II","3","I","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Josef","II","4","Q","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Maria","II","4","R","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Scott","II","5","2","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Minwu","II","5","3","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Gordon","II","5","5","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Aria","III","2","F","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [White Magic Heals +30% Boost 3] at the beginning of the battle"
"Cloud of Darkness","III","2","G","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Arc","III","2","H","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Luneth","III","3","L","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Refia","III","4","N","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Ingus","III","4","R","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Onion Knight","III","5","1","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Desch","III","5","1","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Tellah","IV","1","A","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Palom","IV","1","C","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Rosa","IV","1","D","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [White Magic Heals +30% Boost 3] at the beginning of the battle"
"Edward","IV","1","D","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Yang","IV","1","D","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Porom","IV","1","D","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [White Magic Heals +30% Boost 3] at the beginning of the battle"
"Fusoya","IV","1","D","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Golbez","IV","1","D","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Cid (IV)","IV","1","D","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Ceodore","IV","1","D","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Rubicante","IV","1","D","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Kain","IV","2","G","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Cecil (Paladin)","IV","2","H","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Cecil (Dark Knight)","IV","3","I","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Barbariccia","IV","3","L","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Rydia","IV","4","R","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Edge","IV","5","4","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Ursula","IV","5","4","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Bartz","V","1","B","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Xezat","V","1","C","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Exdeath","V","3","I","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Gilgamesh","V","4","N","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Gogo (V)","V","5","2","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Lenna","V","5","2","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [White Magic Heals +30% Boost 3] at the beginning of the battle"
"Galuf","V","5","2","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Faris","V","5","2","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Fire 10% (15s)] and [Imperil Wind 10% (15s)]after the first Machinist ability used"
"Krile","V","5","2","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [200% ATB 1] at the beginning of the battle"
"Dorgann","V","5","2","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Kelger","V","5","4","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Gau","VI","1","B","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Umaro","VI","1","C","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Cyan","VI","2","E","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Locke","VI","2","E","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Relm","VI","2","G","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [White Magic Heals +30% Boost 3] at the beginning of the battle"
"Leo","VI","2","H","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Setzer","VI","3","I","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Dark 10% (15s)] after the first Machinist or Sharpshooter ability used"
"Edgar","VI","3","K","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Causes [Imperil Fire 10% (15s)], [Imperil Lightning 10% (15s)] and [Imperil Poison 10% (15s)] after the first Machinist ability used"
"Strago","VI","3","L","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Terra","VI","4","N","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Kefka","VI","4","O","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Celes","VI","4","Q","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Shadow","VI","5","5","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Sabin","VI","5","5","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Gogo (VI)","VI","5","5","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
"Mog","VI","5","5","Grants [SB Gauge +50% Boost 1] at the beginning of the battle","Grants [Instant Cast 1] at the beginning of the battle"
