"Character","Realm","Season","Group","Name","Type","Synergy","Combine","Rarity","Level","ATK","DEF","MAG","RES","MND","ACC","EVA","Fixed Passive Effects","Random Passive Effects","Brar","Blv","Batk","Bdef","Bmag","Bres","Bmnd","Bacc","Beva","Mrar","Mlv","Matk","Mdef","Mmag","Mres","Mmnd","Macc","Meva","ID","GL"
"Wedge","Core","1","B","Crescent Knife","Dagger","","","S","50","258","0","258","0","0","95","0","Hand of Vengeance 5
Prismatic damage +20%","Wind +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","165","","165","","","95","","S","99","350","","350","","","95","","21301214","✓"
"Wedge","Core","1","B","Wedge's Hat","Hat","","","S","50","49","101","49","143","0","0","105","Empower Healing 5%
Prismatic damage +20%","Wind Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","36","61","36","76","","","105","S","99","62","140","62","210","","","105","22351169","✓"
"Wedge","Core","1","B","Wedge's Scarf","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380644","✓"
"Dr. Mog","Core","4","O","Sage's Staff","Staff","","","S","50","258","0","0","0","129","95","0","Hand of Vengeance 5
Prismatic damage +20%","Prismatic +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","165","","","","83","95","","S","99","350","","","","175","95","","21309211","✓"
"Dr. Mog","Core","4","O","Sage's Mantle","Robe","","","S","50","0","100","39","163","39","0","105","Empower Healing 5%
Prismatic damage +20%","Prismatic Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","45","26","93","26","","105","S","99","","155","52","233","52","","105","22355154","✓"
"Dr. Mog","Core","4","O","Royal Archives Key","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380642","✓"
"Master","I","2","E","Buster Knuckles","Fist","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Fire/Lightning/Earth +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21307218","✓"
"Master","I","2","E","Power Vest","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strikes 5
Prismatic damage +20%","Fire/Lightning/Earth Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353257","✓"
"Master","I","2","E","Golden Apple","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380621","✓"
"Matoya","I","2","E","Matoya's Broom","Staff","","","S","50","0","0","258","0","129","95","0","Hand of Vengeance 5
Prismatic damage +20%","Fire/Ice/Lightning +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","","","165","","83","95","","S","99","","","350","","175","95","","21309081","✓"
