"Passive","Level 1","Level 10","Level 25","Level 50","Level 55","Level 60","Level 65","Level 70","Level 75","Level 80","Level 85","Level 90","Level 95","Level 99","Level 105","Level 110","Level 115","Level 118","Level 120","Level130","Level140",""
"Stat Boon","3","4","5","7","8","9","10","11","13","15","17","18","19","20","21","22","23","24","25","25","25",""
"Ancient Echo: Attack","3","5","7","10","12","14","15","17","19","20","20","20","20","20","20","21","21","21","22","23","24",""
"Ancient Echo: Protection","3","4","5","6","6","6","8","8","8","10","10","10","10","10","10","11","11","11","12","13","14",""
"Ancient Echo: Blessing","3","3","3","5","5","5","10","10","10","15","15","18","18","20","20","20","20","20","20","20","20",""
"Healing & Health Boon","-","-","-","3","3","4","5","6","7","8","8","9","9","10","10","11","11","11","12","13","14",""
"Critical Boost","-","-","-","3","3","4","5","6","7","8","8","9","9","10","10","11","11","11","12","13","14",""
"Anti-Damage","-","-","-","3","3","4","5","6","7","8","8","9","9","10","10","10","10","10","10","10","10",""
"Fast Act","-","-","-","3","3","4","5","6","7","8","8","9","9","10","10","11","11","11","12","13","14",""
"Surging Power","-","-","-","5","5","5","10","10","10","15","16","17","18","20","20","20","20","20","20","20","20",""
"Antiquity Gambit","-","-","-","","","","","","","","","","","","","","","","","5","5",""
"* Stat Boon (lv X): Increases party ATK, DEF, MAG, RES and MND by X% of the respective Historia Crystal's total stats, after modifiers","","","","","","","","","","","","","","","","","","","","","",""
"* Ancient Echo: Attack (lv X): Increases party damage dealt by X% for matching realm members","","","","","","","","","","","","","","","","","","","","","",""
"* Ancient Echo: Protection (lv X): Reduces party damage taken by X% for matching realm members","","","","","","","","","","","","","","","","","","","","","",""
"* Ancient Echo: Blessing (lv X): Increases party damage dealt by X% and reduces party damage taken by X% for matching realm members","","","","","","","","","","","","","","","","","","","","","",""
"* Healing & Health Boon (lv X): Increases all HP restored to all allies by X% & Increases party max HP by X% of the Historia Crystal's total max HP","","","","","","","","","","","","","","","","","","","","","",""
"* Critical Boost (lv X): Increases party critical chance and critical damage by X% (additive with other critical chance and damage modifiers)","","","","","","","","","","","","","","","","","","","","","",""
"* Anti-Damage (lv X): Reduces party physical and magical damage taken from PHY, NAT, BLK, WHT, BLU or SUM attacks by X%","","","","","","","","","","","","","","","","","","","","","",""
"* Fast Act (lv X): Increases party cast speed by X%","","","","","","","","","","","","","","","","","","","","","",""
"* Surging Power (lv X): Increases party damage dealt by X*HP/10000 percent, where HP is the character's current amount of HP (max +X%, reached at 10000 HP)","","","","","","","","","","","","","","","","","","","","","",""
"* Antiquity Gambit (lv x): Increase party damage by x% against matching realm D700 Crystal Dungeon","","","","","","","","","","","","","","","","","","","","","",""
