"Img","Realm","HP120","ATK120","DEF120","MAG120","RES120","MND120","SPD120","HP130","ATK130","DEF130","MAG130","RES130","MND130","SPD130","HP140","ATK140","DEF140","MAG140","RES140","MND140","SPD140","Passive 1","Passive 2","Passive 3","Passive 4","Passive 5","Passive 6","Passive 7","Passive 8","Passive 9","Passive 10","Cooldown","Duration","Historia Ultra Skill","Type","Auto Target","Time","Effects","Counter","Name (JP)","ID","GL","✓"
"","I","16576","833","695","833","685","695","163","18476","931","776","931","776","776","163","18976","956","797","956","797","797","163","Stat Boon","Ancient Echo: Attack (FF I)","Ancient Echo: Protection (FF I)","Ancient Echo: Blessing (FF I)","Healing & Health Boon","Critical Boost","Anti-Damage","Fast Act","Surging Power","Antiquity Gambit (FF I)","0.01","10.00","Recall: Quest Across Time","NAT","Lowest HP% enemy","0.01","Four single attacks that deal 3000/5000/7000/9999 damage each at Crystal level break 1/50/65/80, followed by one single attack that deals 10000/30000/50000/99999 damage at Crystal break level 1/50/65/80, grants [Buff Prismatic 10% (15s)]/[Buff Prismatic 10% (15s)]/[Buff Prismatic 30% (15s)] to all allies at Crystal level break 50/65/80","N","追憶：時を巡る探求","24098007","✓","✓"
"","II","16576","833","695","833","685","695","163","18476","931","776","931","776","776","163","18976","956","797","956","797","797","163","Stat Boon","Ancient Echo: Attack (FF II)","Ancient Echo: Protection (FF II)","Ancient Echo: Blessing (FF II)","Healing & Health Boon","Critical Boost","Anti-Damage","Fast Act","Surging Power","Antiquity Gambit (FF II)","0.01","10.00","Recall: Struggle for Peace","NAT","Lowest HP% enemy","0.01","Four single attacks that deal 3000/5000/7000/9999 damage each at Crystal level break 1/50/65/80, followed by one single attack that deals 10000/30000/50000/99999 damage at Crystal break level 1/50/65/80, grants [Buff Prismatic 10% (15s)]/[Buff Prismatic 10% (15s)]/[Buff Prismatic 30% (15s)] to all allies at Crystal level break 50/65/80","N","追憶：平和求めし反乱","24098008","✓","✓"
"","III","16576","833","695","833","685","695","163","18476","931","776","931","776","776","163","18976","956","797","956","797","797","163","Stat Boon","Ancient Echo: Attack (FF III)","Ancient Echo: Protection (FF III)","Ancient Echo: Blessing (FF III)","Healing & Health Boon","Critical Boost","Anti-Damage","Fast Act","Surging Power","Antiquity Gambit (FF III)","0.01","10.00","Recall: Light and Darkness","NAT","Lowest HP% enemy","0.01","Four single attacks that deal 3000/5000/7000/9999 damage each at Crystal level break 1/50/65/80, followed by one single attack that deals 10000/30000/50000/99999 damage at Crystal break level 1/50/65/80, grants [Buff Prismatic 10% (15s)]/[Buff Prismatic 10% (15s)]/[Buff Prismatic 30% (15s)] to all allies at Crystal level break 50/65/80","N","追憶：光と闇の調和","24098009","✓","✓"
"","IV","16576","833","695","833","685","695","163","18476","931","776","931","776","776","163","18976","956","797","956","797","797","163","Stat Boon","Ancient Echo: Attack (FF IV)","Ancient Echo: Protection (FF IV)","Ancient Echo: Blessing (FF IV)","Healing & Health Boon","Critical Boost","Anti-Damage","Fast Act","Surging Power","Antiquity Gambit (FF IV)","0.01","10.00","Recall: Moonlit Epic","NAT","Lowest HP% enemy","0.01","Four single attacks that deal 3000/5000/7000/9999 damage each at Crystal level break 1/50/65/80, followed by one single attack that deals 10000/30000/50000/99999 damage at Crystal break level 1/50/65/80, grants [Buff Prismatic 10% (15s)]/[Buff Prismatic 10% (15s)]/[Buff Prismatic 30% (15s)] to all allies at Crystal level break 50/65/80","N","追憶：月が照らす叙事詩","24098010","✓","✓"
"","V","16576","833","695","833","685","695","163","18476","931","776","931","776","776","163","18976","956","797","956","797","797","163","Stat Boon","Ancient Echo: Attack (FF V)","Ancient Echo: Protection (FF V)","Ancient Echo: Blessing (FF V)","Healing & Health Boon","Critical Boost","Anti-Damage","Fast Act","Surging Power","Antiquity Gambit (FF V)","0.01","10.00","Recall: The Chosen Four","NAT","Lowest HP% enemy","0.01","Four single attacks that deal 3000/5000/7000/9999 damage each at Crystal level break 1/50/65/80, followed by one single attack that deals 10000/30000/50000/99999 damage at Crystal break level 1/50/65/80, grants [Buff Prismatic 10% (15s)]/[Buff Prismatic 10% (15s)]/[Buff Prismatic 30% (15s)] to all allies at Crystal level break 50/65/80","N","追憶：選ばれし4つの心","24098011","✓","✓"
"","VI","16576","833","695","833","685","695","163","18476","931","776","931","776","776","163","18976","956","797","956","797","797","163","Stat Boon","Ancient Echo: Attack (FF VI)","Ancient Echo: Protection (FF VI)","Ancient Echo: Blessing (FF VI)","Healing & Health Boon","Critical Boost","Anti-Damage","Fast Act","Surging Power","Antiquity Gambit (FF VI)","0.01","10.00","Recall: Saving the World","NAT","Lowest HP% enemy","0.01","Four single attacks that deal 3000/5000/7000/9999 damage each at Crystal level break 1/50/65/80, followed by one single attack that deals 10000/30000/50000/99999 damage at Crystal break level 1/50/65/80, grants [Buff Prismatic 10% (15s)]/[Buff Prismatic 10% (15s)]/[Buff Prismatic 30% (15s)] to all allies at Crystal level break 50/65/80","N","追憶：救世誓う勇士たち","24098012","✓","✓"
"","VII","16576","833","695","833","685","695","163","18476","931","776","931","776","776","163","18976","956","797","956","797","797","163","Stat Boon","Ancient Echo: Attack (FF VII)","Ancient Echo: Protection (FF VII)","Ancient Echo: Blessing (FF VII)","Healing & Health Boon","Critical Boost","Anti-Damage","Fast Act","Surging Power","Antiquity Gambit (FF VII)","0.01","10.00","Recall: The Planet's Ward","NAT","Lowest HP% enemy","0.01","Four single attacks that deal 3000/5000/7000/9999 damage each at Crystal level break 1/50/65/80, followed by one single attack that deals 10000/30000/50000/99999 damage at Crystal break level 1/50/65/80, grants [Buff Prismatic 10% (15s)]/[Buff Prismatic 10% (15s)]/[Buff Prismatic 30% (15s)] to all allies at Crystal level break 50/65/80","N","追憶：星の命を守りし光","24098013","✓","✓"
"","VIII","16576","833","695","833","685","695","163","18476","931","776","931","776","776","163","18976","956","797","956","797","797","163","Stat Boon","Ancient Echo: Attack (FF VIII)","Ancient Echo: Protection (FF VIII)","Ancient Echo: Blessing (FF VIII)","Healing & Health Boon","Critical Boost","Anti-Damage","Fast Act","Surging Power","Antiquity Gambit (FF VIII)","0.01","10.00","Recall: Blossoming Love","NAT","Lowest HP% enemy","0.01","Four single attacks that deal 3000/5000/7000/9999 damage each at Crystal level break 1/50/65/80, followed by one single attack that deals 10000/30000/50000/99999 damage at Crystal break level 1/50/65/80, grants [Buff Prismatic 10% (15s)]/[Buff Prismatic 10% (15s)]/[Buff Prismatic 30% (15s)] to all allies at Crystal level break 50/65/80","N","追憶：愛芽吹きし心","24098014","✓","✓"
"","IX","16576","833","695","833","685","695","163","18476","931","776","931","776","776","163","18976","956","797","956","797","797","163","Stat Boon","Ancient Echo: Attack (FF IX)","Ancient Echo: Protection (FF IX)","Ancient Echo: Blessing (FF IX)","Healing & Health Boon","Critical Boost","Anti-Damage","Fast Act","Surging Power","Antiquity Gambit (FF IX)","0.01","10.00","Recall: A Place to Call Home","NAT","Lowest HP% enemy","0.01","Four single attacks that deal 3000/5000/7000/9999 damage each at Crystal level break 1/50/65/80, followed by one single attack that deals 10000/30000/50000/99999 damage at Crystal break level 1/50/65/80, grants [Buff Prismatic 10% (15s)]/[Buff Prismatic 10% (15s)]/[Buff Prismatic 30% (15s)] to all allies at Crystal level break 50/65/80","N","追憶：いつか帰るところ","24098015","✓","✓"
"","X","16576","833","695","833","685","695","163","18476","931","776","931","776","776","163","18976","956","797","956","797","797","163","Stat Boon","Ancient Echo: Attack (FF X)","Ancient Echo: Protection (FF X)","Ancient Echo: Blessing (FF X)","Healing & Health Boon","Critical Boost","Anti-Damage","Fast Act","Surging Power","Antiquity Gambit (FF X)","0.01","10.00","Recall: Spiraling Dream","NAT","Lowest HP% enemy","0.01","Four single attacks that deal 3000/5000/7000/9999 damage each at Crystal level break 1/50/65/80, followed by one single attack that deals 10000/30000/50000/99999 damage at Crystal break level 1/50/65/80, grants [Buff Prismatic 10% (15s)]/[Buff Prismatic 10% (15s)]/[Buff Prismatic 30% (15s)] to all allies at Crystal level break 50/65/80","N","追憶：螺旋導く夢","24098016","✓","✓"
