"Character","Realm","Condition 1","1 - Points","Condition 2","2 - Points","Condition 3","3 - Points","Condition 4","4 - Points","Condition 5","5 - Points","Condition 6","6 - Points","Condition 7","7 - Points","Condition 8","8 - Points","Condition 9","9 - Points","GL","✓"
"Warrior of Light","I","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Garland","I","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Master","I","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Sarah","I","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Meia","I","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Wol","I","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Echo","I","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Thief (I)","I","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Matoya","I","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Firion","II","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
