"Realm","Character","Img","Name","Tier","LM Ver","Effect","Mastery Bonus","Relic","Name (JP)","ID","Anima","GL","✓"
"Core","Tyro","","Spellgird","LM","LM1","Reduces damage taken by BLK attacks by 10%","","-","魔攻への備え","201000200","","✓","✓"
"Core","Tyro","","Secret of the Archives","LM","LM2","Increases the duration of stat buffs by 40%","","-","歴史省の秘伝","201000201","","✓","✓"
"Core","Tyro","","Archival Secrets","LMR","LMR1","Grants [Instant Cast 2] at the beginning of the battle","ATK +10","Keeper's Cap (Core)","歴史省の奥伝","201000202","1","✓","✓"
"Core","Tyro","","Phoenix Protector","LMR","LMR2","PHY attacks deal 25% more damage when equipping a shield or light armor","ATK +10","Erdrick's Shield (Core)","不死鳥の守護","201000203","","","✓"
"Core","Tyro","","Heroic Aspiration","LMR","LMR3","ATK, DEF, MAG, RES and MND +30% when equipping a book","ATK +10","Book of Light (Core)","英雄への憧れ","201000204","4","✓","✓"
"Core","Tyro","","Wisdom's Pupil","LMR","LMR4","Increases damage dealt by 20% when exploiting elemental weakness","ATK +5, MAG +5","Magic Armlet (Core)","英知学びし少年","201000205","5","✓","✓"
"Core","Tyro","","Bravery: Tyro","LMR++","LMR++1","Casts [Quick Cast 3] after using three Support abilities, and Grants [Instant Cast 1] and [Support SB Gauge +25% Boost] at the start of battle","","Scholar Robe (Core)","勇品・デシ","201000206","","","✓"
"Core","Elarra","","To Be Human","LM","LM1","WHT abilities restore 15% more HP","","-","心を学ぶ少女","201000501","","✓","✓"
"Core","Elarra","","Historic Brilliance","LM","LM2","35% chance to dualcast White Magic abilities","","-","歴史に育まれる才華","201000502","","✓","✓"
"Core","Elarra","","Aspiring Artisan","LMR","LMR1","25% chance to cast an ability (WHT: group, restores HP (25)) after using a Bard ability","MND +10","Elarra's Hat (Core)","芸術への興味","201000503","1","✓","✓"
"Core","Elarra","","Heavenly Miracle","LMR","LMR2","Restores HP for 100% of the user's maximum HP and grants [Last Stand] when HP fall below 20%","MND +10","Priestess Apron (Core)","星を救う奇跡","201000504","","","✓"
"Core","Biggs","","Reckless Zeal","LM","LM1","PHY attacks deal 10% more damage","","-","ガムシャラな情熱","201004300","","✓","✓"
"Core","Biggs","","Defiant Cry","LM","LM2","Grants [Last Stand] and [Biggs Trance] when HP fall below 20%","","-","土壇場の気合","201004301","","✓","✓"
"Core","Biggs","","Hidden Valor","LMR","LMR1","Grants [Attach Earth] at the beginning of the battle","ATK +10","Biggs's Guise (Core)","隠された戦士の誇り","201004302","1","✓","✓"
"Core","Biggs","","Fearsome Demon","LMR","LMR2","PHY attacks deal 25% more damage when equipping a heavy armor or light armor","ATK +10","Demon Armor (Core)","鬼神貫徹","201004303","","","✓"
"Core","Biggs","","Bravery: Biggs","LMR++","LMR++1","Increases Earth damage dealt by 10%, 100% chance to dualcast every third Earth ability, Grants [200% ATB 1] at the beginning of the battle","","Platinum Shield (Core)","勇晶・ビッグス","201004304","","","✓"
"Core","Wedge","","Animal Ally","LM","LM1","Increases Wind damage dealt by 10%","","-","動物への愛情","201004400","","✓","✓"
"Core","Wedge","","Quick Study","LM","LM2","35% chance to dualcast abilities that deal Wind damage","","-","すばしっこい芸達者","201004401","","✓","✓"
"Core","Wedge","","Hidden Kindness","LMR","LMR1","Grants [Attach Wind] at the beginning of the battle","ATK +5, MAG +5","Wedge's Hat (Core)","秘めた愛らしさ","201004402","1","✓","✓"
"Core","Wedge","","Divine Squad","LMR","LMR2","100% chance to remove Silence and Blind to the user after being afflicted with Silence or Blind","ATK +5, MAG +5","Divine Robe (Core)","破呪の方陣","201004403","","","✓"
"Core","Wedge","","Onslaught (Wedge)","LMR+","LMR+1","35% chance to cast Spiral Arc after dealing damage with a Wind attack","ATK +5, MAG +5","Silken Shirt (Core)","遊撃【ウェッジ】","201004404","","✓","✓"
"Core","Wedge","","Bravery: Wedge (Wind)","LMR++","LMR++1","100% chance to Dualcast every 3rd Wind ability & Wind Damage +10%; Quick ATB 1 at the start of battle","","Survival Edge (Core)","勇晶・ウェッジ風","201004405","","",""
"Core","Dr. Mog","","Hardened Resistance","LM","LM1","Reduces damage taken by BLK attacks by 10%","","-","元祖魔攻への備え","201004500","","✓","✓"
"Core","Dr. Mog","","Master of Destruction","LM","LM2","35% chance to dualcast Black Magic or Summoning abilities","","-","黒魔法の権威","201004501","","✓","✓"
"Core","Dr. Mog","","Master of Renewal","LMR","LMR1","25% chance to dualcast White Magic abilities","MAG +5, MND +5","Healing Staff (Core)","白魔法の熟達者","201004502","1","✓","✓"
"Core","Dr. Mog","","Overflowing Magic","LMR","LMR2","35% chance to grant [Quick Cast 1] to the user after using a Black Magic or Summoning ability","MAG +10","Metal Slime Hat (Core)","あふれる魔力","201004503","","","✓"
"Core","Dr. Mog","","Archives' Promise","LMR","LMR3","Grants [Dr. Mog Trance] when HP fall below 20%","MAG +10","Staff of Light (Core)","歴史省トップの底力","201004504","5","✓","✓"
"Core","Dr. Mog","","Bravery: Dr. Mog","LMR++","LMR++1","Prismatic Damage +10%; Quick ATB 1 at the start of battle & chases every 2 Black Magic/Summoning abilities with 6 single-target Prismatic/NE magic attacks","","Nimbus Rod (Core)","勇晶・Dr.モグ","201004505","","",""
"Core","Shadowsmith","","End of Aspirations","LM","LM1","Grants [Haste] and [Instant Cast 3] at the beginning of the battle","","-","憧れの果て","201005000","","",""
"Core","Shadowsmith","","Refined Magic","LM","LM2","100% chance to dualcast every third elemental ability","","-","研鑽されし魔法","201005001","","",""
"I","Warrior of Light","","Chosen of the Light","LM","LM1","Reduces damage taken by Holy attacks by 10%","","-","光に選ばれし者","201010100","","✓","✓"
"I","Warrior of Light","","Unfaltering Light","LM","LM2","Grants [Last Stand] and [Sentinel] at the beginning of the battle","","-","揺らぐことなき光","201010101","","✓","✓"
"I","Warrior of Light","","Light Within","LMR","LMR1","ATK +3% for each hit taken by damaging attacks, up to +35%","ATK +10","Crystal Helm (I)","輝ける魂","201010102","4","✓","✓"
"I","Warrior of Light","","Absolute Justice","LMR","LMR2","Grants [Attach Holy] at the beginning of the battle","ATK +10","Flame Shield (I)","正義を信じぬく心","201010103","1","✓","✓"
"I","Warrior of Light","","Steadfast Warrior","LMR","LMR3","25% chance to cast an ability (PHY: single, 3x 0.42 physical Holy/NE, restores 1500 HP to the lowest HP% ally) after taking damage from an enemy","ATK +10","Crystal Shield (I)","毅然たる戦士","201010104","4","✓","✓"
"I","Warrior of Light","","Cycle Breaker","LMR","LMR4","Grants [Quick Cast 3] at the beginning of the battle","ATK +10","Light Axe (I)","時の鎖を断つ刃","201010105","4","✓","✓"
"I","Warrior of Light","","Re-action (Warrior of Light)","LMR+","LMR+1","100% chance to dualcast every third Holy ability","ATK +10","Kaiser Shield (I)","再動【光の戦士】","201010106","","✓",""
"I","Warrior of Light","","Bravery: Warrior of Light","LMR++","LMR++1","PHY Damage +25% with Sword equipped; Quick ATB 1 at the start of battle","","Flame Mail (I)","勇晶・光の戦士","201010107","","",""
"I","Garland","","Embracer of the Dark","LM","LM1","Increases Dark damage dealt by 10%","","-","闇を選びし者","201010200","","✓","✓"
"I","Garland","","Font of Darkness","LM","LM2","40% chance of restoring HP to the user for 40% of the damage dealt with single-target Dark attacks","","-","闇の元凶","201010201","","✓","✓"
"I","Garland","","Frenzied Warrior","LMR","LMR1","Restores HP for 100% of the user's maximum HP and grants [Extended Quick Cast] when HP fall below 20%","ATK +10","Demon Mail (I)","狂乱の古強者","201010202","1","✓","✓"
"I","Garland","","Timeless Hatred","LMR","LMR2","25% chance to dualcast Darkness abilities","ATK +10","Garland's Cloak (I)","時を越えた憎悪","201010203","4","✓","✓"
"I","Garland","","Battlelust","LMR","LMR3","Grants [Attach Dark] at the beginning of the battle","ATK +10","Demon Shield (I)","溢れる戦闘欲","201010204","4","✓","✓"
"I","Garland","","Onslaught (Garland)","LMR+","LMR+1","35% chance to cast an ability (PHY: single, 4x 0.54 physical Dark/NE) after dealing damage with a Dark ability","ATK +10","Giant's Gloves (I)","遊撃【ガーランド】","201010205","","✓","✓"
"I","Garland","","Bravery: Garland","LMR++","LMR++1","PHY Damage +20% with Sword equipped; Quick ATB 1 at the start of battle","","Soul Sabre (I)","勇晶・ガーランド","201010206","","",""
"I","Sarah","","Gracious Princess","LM","LM1","WHT abilities restore 15% more HP","","-","心優しい姫","201010300","","✓","✓"
"I","Sarah","","Beloved Princess","LM","LM2","35% chance to dualcast White Magic abilities","","-","民に愛されし姫君","201010302","","✓","✓"
"I","Sarah","","Warriors' Ballad","LMR","LMR1","25% chance to cast an ability (WHT: group, restores HP (25)) after using a Bard ability","MND +10","Princess Veil (I)","戦う者たちを想う歌","201010301","1","✓","✓"
"I","Sarah","","Windsong","LMR","LMR2","35% chance to grant [Quick Cast 1] to the user after using a Bard ability","MND +10","Gold Hairpin (I)","はやての調べ","201010303","4","✓","✓"
"I","Sarah","","Bravery: Sarah","LMR++","LMR++1","Max ATB 1 & once per battle, chases a White Magic/Bard ability with Brave Crystal's Might to user
Brave Crystal's Might: MND & RES +30% to user and chases White Magic/Bard abilities with Quick Cast 1 to party","","Dream Harp (I)","勇晶・セーラ","201010304","","",""
"I","Wol","","Keen Pragmatist","LM","LM1","PHY attacks deal 10% more damage","","-","鋭い現実主義者","201010400","","✓","✓"
"I","Wol","","Bringer of Change","LM","LM2","Grants [Haste] and [Instant Cast 3] at the beginning of the battle","","-","世界を変えた光の戦士","201010401","","✓","✓"
"I","Wol","","Breaker of Laws","LMR","LMR1","Grants [Elemental Boost] when HP fall below 20%","ATK +10","Sirius (I)","ルールを覆す者","201010402","1","✓","✓"
"I","Wol","","Aspirant of Light","LMR","LMR2","20% chance to cause [Imperil Earth 10% (15s)] to the target after using a Earth attack","ATK +10","Durga's Firangi (I)","光の戦士候補","201010403","5","✓","✓"
"I","Wol","","Bravery: Wol","LMR++","LMR++1","Increases Earth/Holy damage dealt by 10%, 100% chance to dualcast every third Earth/Holy ability, Grants [200% ATB 1] at the beginning of the battle","","Fatal Masher (I)","勇晶・ウォル","201010404","","","✓"
"I","Echo","","Blank Guide","LM","LM1","Reduces damage taken by BLK attacks by 10%","","-","ブランクを導く者","201010500","","✓","✓"
"I","Echo","","Master of Mischief","LM","LM2","Increases the duration of stat debuffs by 40%","","-","いたずら好きの本領","201010502","","✓","✓"
"I","Echo","","Fickle Fortune","LMR","LMR1","25% chance to cast an ability (NAT: group, restores HP for 30% of the target's maximum HP) after using a Dancer ability","MAG +10","Captain Costume (I)","気まぐれなごほうび","201010501","1","✓","✓"
"I","Echo","","Fabled Spirit","LMR","LMR2","Grants [Haste] and [Instant Cast 1] at the beginning of the battle","MAG +10","Nirvana (I)","伝説の妖精","201010503","4","✓","✓"
"I","Echo","","Faerie Helper","LMR","LMR3","25% chance to dualcast Dancer abilities","MAG +5, MND +5","Yggdrasil Staff (I)","妖精の手助け","201010504","5","✓","✓"
"I","Master","","Fists of Steel","LM","LM1","Monk abilities deal 15% more damage","","-","研ぎ澄ます鉄拳","201010600","","✓","✓"
"I","Master","","Fist of the Master","LM","LM2","35% chance to dualcast Monk abilities","","-","達人の妙技","201010601","","✓","✓"
"I","Master","","Glimmer of Insight","LMR","LMR1","25% chance to grant [ATK +35% for Next Damaging Action] to the user after using a Monk ability","ATK +10","Kenpogi (I)","熟練の瞬技","201010602","1","✓","✓"
"I","Master","","Martial Mentor","LMR","LMR2","PHY attacks deal 20% more damage when equipping a fist","ATK +10","Soldier's Armlet (I)","武人の鑑","201010603","4","✓","✓"
"I","Master","","Bravery: Master","LMR++","LMR++1","100% chance to Dualcast every 3rd Earth/Fire/Lightning ability & Earth/Fire/Lightning Damage +10%; Quick ATB 1 at the start of battle","","Lightning Claw (I)","勇晶・スーパーモンク","201010604","","",""
"I","Matoya","","Eccentric Witch","LM","LM1","BLK attacks deal 10% more damage","","-","偏屈な魔女","201010700","","✓","✓"
"I","Matoya","","Cave Keeper","LM","LM2","35% chance to dualcast Witch abilities","","-","魔窟の主","201010702","","✓","✓"
"I","Matoya","","Mystic Master","LMR","LMR1","Witch abilities deal 25% more damage when equipping a staff","MAG +10","Matoya's Hat (I)","魔道の老手","201010701","1","✓","✓"
"I","Matoya","","Apt Apothecary","LMR","LMR2","35% chance to grant [Quick Cast 1] to the user after using a Witch ability","MAG +10","Mage's Staff (I)","優れた薬師","201010703","5","✓","✓"
"I","Matoya","","Bravery: Matoya","LMR++","LMR++1","100% chance to dualcast every third Witch ability, Grants [200% ATB 1] and [Quick Cast 3] at the beginning of the battle","","Shaman's Robes (I)","勇晶・マトーヤ","201140105","","","✓"
"I","Meia","","Bewitching Heretic","LM","LM1","Increases Water damage dealt by 10%","","-","美貌の異端者","201010800","","✓","✓"
"I","Meia","","Chimeric Witch","LM","LM2","30% chance to grant [Quick Cast 3] to the user after using a Water ability","","-","変幻自在な魔女","201010802","","✓","✓"
"I","Meia","","Azure Witchcraft","LMR","LMR1","Grants [Attach Water] at the beginning of the battle","MAG +10","Vesna Krasna (I)","復讐の碧き魔力","201010801","1","✓","✓"
"I","Meia","","Free from Hatred","LMR","LMR2","25% chance to dualcast abilities that deal Water damage","MAG +10","Glam Vamp (I)","憎悪からの解放","201010803","4","✓","✓"
"I","Meia","","Bravery: Meia (Water)","LMR++","LMR++1","100% chance to Dualcast every 3rd Water ability & Water Damage +10%; Quick ATB 1 at the start of battle","","Dynamis Crest (I)","勇晶・メイア水","201010804","","",""
"I","Thief (I)","","Deft Dagger","LM","LM1","PHY attacks deal 10% more damage when equipping a dagger","","-","巧みな短剣さばき","201010900","","✓","✓"
"I","Thief (I)","","Thief's Prestige","LM","LM2","35% chance to dualcast Thief abilities","","-","盗賊の矜持","201010902","","✓","✓"
"I","Thief (I)","","Thief's Fortune","LMR","LMR1","50% chance to increase Gil gained at the end of battle by 30% when equipping a dagger","ATK +10","Thief's Bandana (I)","幸運な盗賊","201010901","1","✓","✓"
"I","Thief (I)","","Thieving Flair","LMR","LMR2","35% chance to grant [Quick Cast 1] to the user after using a Wind or Poison attack","ATK +10","Brigand's Gloves (I)","義賊の流儀","201010903","5","✓","✓"
"I","Thief (I)","","Bravery: Thief (I)","LMR++","LMR++1","Increases Wind/Poison damage dealt by 10%, 100% chance to dualcast every third Wind/Poison ability, Grants [200% ATB 1] at the beginning of the battle","","Butterfly Edge (I)","勇晶・シーフ(I)","201010904","","","✓"
"II","Firion","","All in the Wrist","LM","LM1","PHY attacks deal 10% more damage","","-","巧みな武器術","201020100","","✓","✓"
"II","Firion","","Honed Skills","LM","LM2","ATK +1% for each hit dealt with damaging PHY attacks, up to +50%","","-","武具を極めし者","201020101","","✓","✓"
"II","Firion","","Untarnished Honor","LMR","LMR1","25% chance to dualcast Combat abilities","ATK +10","Mythril Shield (II)","折れぬ義侠心","201020103","1","✓","✓"
"II","Firion","","Future's Edge","LMR","LMR2","25% chance to dualcast Samurai abilities","ATK +10","Winged Helm (II)","未来を切り開く刃","201020104","4","✓","✓"
"II","Firion","","Impassioned Leader","LMR","LMR3","25% chance to dualcast Knight abilities","ATK +10","Crystal Mail (II)","熱き魂を持つ義士","201020105","4","✓","✓"
"II","Firion","","Defying Oppression","LMR","LMR4","PHY attacks deal 20% more damage when equipping a sword","ATK +10","Mythril Spear (II)","支配への義憤","201020106","4","✓","✓"
"II","Firion","","Bravery: Firion","LMR++","LMR++1","100% chance to dualcast every third Holy/Fire/Ice ability, Grants [200% ATB 1] and [Quick Cast 3] at the beginning of the battle","","Genji Armor (II)","勇晶・フリオニール","201020107","","","✓"
"II","Maria","","Unshakeable","LM","LM1","Increases Earth damage dealt by 10%","","-","気丈な振る舞い","201020200","","✓","✓"
"II","Maria","","Master of Magics","LM","LM2","MAG +1% for each hit dealt with damaging BLK attacks, up to +30%","","-","熟練の大魔術","201020201","","✓","✓"
"II","Maria","","Depths of Sorrow","LMR","LMR1","Grants [Attach Earth] at the beginning of the battle","MAG +10","Maria's Armguards (II)","深き慈しみの少女","201020202","1","✓","✓"
"II","Maria","","Searching Sister","LMR","LMR2","25% chance to dualcast abilities that deal Earth damage","MAG +10","Minerva Bustier (II)","兄の行方を追う少女","201020203","4","✓","✓"
"II","Maria","","Refinement (Maria)","LMR+","LMR+1","BLK attacks deal 25% more damage","MAG +10","Mini Protector (II)","昇華【マリア】","201020204","","✓","✓"
"II","Maria","","Bravery: Maria (Earth)","LMR++","LMR++1","100% chance to Dualcast every 3rd Earth ability & Earth Damage +10%; Quick ATB 1 at the start of battle","","Rune Bow (II)","勇晶・マリア地","201020205","","",""
"II","Guy","","True of Heart","LM","LM1","Increases Earth damage dealt by 10%","","-","素朴な好漢","201020300","","✓","✓"
"II","Guy","","Measured Might","LM","LM2","30% chance to cause [Imperil Earth 10% (15s)] to the target after using a Earth attack","","-","心優しき怪力青年","201020301","","✓","✓"
"II","Guy","","Hale and Hearty","LMR","LMR1","PHY attacks deal 20% more damage when equipping an axe","ATK +10","Viking Axe (II)","頑健なる肉体","201020302","1","✓","✓"
"II","Guy","","Bravery: Guy (Earth)","LMR++","LMR++1","100% chance to dualcast every third Earth ability, Grants [200% ATB 1] and [Quick Cast 3] at the beginning of the battle","","Guy's Kaiser Helm (II)","勇晶・ガイ地","201020303","","","✓"
"II","Leon","","Past Sins","LM","LM1","Increases Dark damage dealt by 10%","","-","業深き戦士","201020400","","✓","✓"
"II","Leon","","Penance","LM","LM2","ATK +2% for each hit dealt with PHY attacks that deal Dark damage, up to +50%","","-","犯した罪の贖罪","201020401","","✓","✓"
"II","Leon","","Dark Bloom","LMR","LMR1","25% chance to dualcast Darkness abilities","ATK +10","Diamond Armor (II)","開花せし闇の力","201020402","1","✓","✓"
"II","Leon","","Knight Superior","LMR","LMR2","Grants [Attach Dark] at the beginning of the battle","ATK +10","Obelisk (II)","優秀なる司令官","201020403","4","✓","✓"
"II","Leon","","Bravery: Leon","LMR++","LMR++1","Increases Dark damage dealt by 10%, 100% chance to dualcast every third Dark ability, Grants [200% ATB 1] at the beginning of the battle","","Chaos Shield (II)","勇晶・レオンハルト","201020404","","","✓"
"II","Minwu","","Regal Retainer","LM","LM1","WHT abilities restore 15% more HP","","-","美しき参謀","201020500","","✓","✓"
"II","Minwu","","Ultimate Decree","LM","LM2","75% chance to remove Poison, Silence, Blind and Confuse to the user after being afflicted with Poison, Silence, Blind or Confuse","","-","究極魔法に捧げし天命","201020501","","✓","✓"
"II","Minwu","","Rebel Mastermind","LMR","LMR1","25% chance to grant [Physical Blink 1] to the target after using a single-target White Magic ability that restores HP on an ally","MND +10","Minwu's Bulwark (II)","反乱軍のブレーン","201020502","1","✓","✓"
"II","Minwu","","Seer of Fate","LMR","LMR2","25% chance to dualcast White Magic abilities","MND +10","Staff of the Magi (II)","天命を見抜く瞳","201020503","4","✓","✓"
"II","Minwu","","Heroic Mage","LMR","LMR3","Grants [Attach Holy] at the beginning of the battle","MND +10","Asura's Rod (II)","勇敢な白魔道士","201020504","4","✓","✓"
"II","Minwu","","Bravery: Minwu","LMR++","LMR++1","Increases White Magic damage dealt by 10%, 100% chance to dualcast every third White Magic ability, Grants [200% ATB 1] at the beginning of the battle","","Sage's Mantle (II)","勇晶・ミンウ","201020505","","","✓"
"II","Gordon","","Glimpse of Bravery","LM","LM1","Support abilities deal 15% more damage","","-","勇気の片鱗","201020600","","✓","✓"
"II","Gordon","","Love's Vow","LM","LM2","30% chance to cause [Imperil Fire 10% (15s)] to the target after using a Support ability","","-","愛する者への誓い","201020601","","✓","✓"
"II","Gordon","","Kashuan Heir","LMR","LMR1","Increases the duration of stat debuffs by 30%","ATK +10","Diamond Shield (II)","カシュオーンの後継者","201020602","1","✓","✓"
"II","Gordon","","Ascendant Prince","LMR","LMR2","Grants [Haste] and [Instant Cast 1] at the beginning of the battle","ATK +10","Heavy Lance (II)","芽生えし王族の自信","201020603","4","✓","✓"
"II","Gordon","","Ancestral Ardor","LMR","LMR3","25% chance to cast Ancestral Ardor after using a Support ability","ATK +5, MAG +5","Crimson Armlet (II)","継承せし気炎","201020604","5","✓","✓"
"II","Gordon","","Swiftness (Gordon)","LMR+","LMR+1","Grants [Haste] and [Instant Cast 3] at the beginning of the battle","ATK +5, MAG +5","Gordon's Guise (II)","迅速【ゴードン】","201020605","","","✓"
"II","Gordon","","Bravery: Gordon","LMR++","LMR++1","Grants [Quick Cast 3] to the user after using 3 Support abilities, grants [Instant Cast 1] and [Support SB Gauge +25% Boost] at the start of battle","","Platinum Shield (II)","勇晶・ゴードン","201020606","","",""
"II","Leila","","Mischievous Meddler","LM","LM1","PHY attacks deal 10% more damage","","-","おせっかいな性分","201020700","","✓","✓"
"II","Leila","","Resourceful Captain","LM","LM2","Grants [Haste] and [Instant Cast 3] at the beginning of the battle","","-","世渡り上手な女ボス","201020701","","✓","✓"
"II","Leila","","Maiden of the Sea","LMR","LMR1","25% chance to grant [Quick Cast 1] to the user after using a Water or Poison attack","ATK +10","Leila's Bandana (II)","海上の女傑","201020702","1","✓","✓"
"II","Leila","","Pirate of Paloom","LMR","LMR2","20% chance to cause [Imperil Water 10% (15s)] to the target after using a Water attack","ATK +10","Mage Masher (II)","パルムの海賊","201020703","5","✓","✓"
"II","Leila","","Re-action (Leila)","LMR+","LMR+1","100% chance to dualcast every third Thief ability","ATK +10","Platinum Dagger (II)","再動【レイラ】","201020704","","✓",""
"II","Leila","","Bravery: Leila","LMR++","LMR++1","Water/Bio Damage +10%; Instant Cast 1 & Brave Crystal's Might at the start of battle
Brave Crystal's Might: Once per battle and after using 3 Thief abilities, grants ATK & DEF +30% to user and chases Thief abilities with 4 single-target Water/Bio/NE physical attacks","","Mythril Gloves (II)","勇晶・レイラ","201020705","","",""
"II","Ricard","","Daring Dragoon","LM","LM1","Dragoon abilities deal 15% more damage","","-","勇猛なる竜騎士","201020800","","✓","✓"
