"Realm","Character","Sphere 1","Sphere 2","Sphere 3","Sphere 4","Mote 1 Required","","","","","Mote 2 Required","","","",""
"Core","Tyro","DEF +10","MND +15","ATK +15","","Wisdom (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"Core","Tyro","RES +10","Silence Imm. (minor)","Blind Imm. (minor)","MAG +15","Wisdom (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"Core","Tyro","DEF +10","Legend Materia 1","MND +15","","Wisdom (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"Core","Tyro","RES +10","Silence Imm. (moder.)","Blind Imm. (moder.)","MAG +15","Wisdom (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"Core","Tyro","HP +500","Legend Materia 2","ATK +15","","Wisdom (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"Core","Elarra","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"Core","Elarra","Silence Imm. (minor)","HP +200","WHT heals +3%","MAG +10","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"Core","Elarra","DEF +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"Core","Elarra","Silence Imm. (moder.)","RES +20","WHT heals +6%","MAG +10","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"Core","Elarra","HP +300","Legend Materia 2","MND +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"Core","Biggs","DEF +10","RES +10","DEF +10","","Spirit (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"Core","Biggs","Confuse Imm. (minor)","RES +10","HP +200","Sword dam. +3%","Spirit (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"Core","Biggs","DEF +20","Legend Materia 1","ATK +10","","Spirit (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"Core","Biggs","RES +20","Confuse Imm. (moder.)","Sword dam. +6%","HP +300","Spirit (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"Core","Biggs","HP +500","Legend Materia 2","ATK +20","","Spirit (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"Core","Wedge","DEF +10","RES +10","MAG +10","","Wisdom (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"Core","Wedge","HP +250","Paralyze Imm. (minor)","Wind dam. +3%","ATK +10","Wisdom (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"Core","Wedge","RES +10","Legend Materia 1","ATK +10","","Wisdom (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"Core","Wedge","DEF +15","Paralyze Imm. (moder.)","Wind dam. +6%","MAG +15","Wisdom (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"Core","Wedge","HP +450","Legend Materia 2","MAG +20","","Wisdom (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"Core","Dr. Mog","RES +10","DEF +10","RES +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"Core","Dr. Mog","Sleep Imm. (minor)","HP +200","MAG +10","BLK dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"Core","Dr. Mog","DEF +10","Legend Materia 1","RES +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"Core","Dr. Mog","Sleep Imm. (moder.)","MND +15","MAG +15","BLK dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"Core","Dr. Mog","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"Core","Shadowsmith","DEF +10","MND +15","ATK +15","","Wisdom (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"Core","Shadowsmith","RES +10","Silence Imm. (moder.)","Weakness dam. +3%","MAG +15","Wisdom (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"Core","Shadowsmith","DEF +10","Legend Materia 1","MND +15","","Wisdom (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"Core","Shadowsmith","RES +10","Blind Imm. (moder.)","Weakness dam. +6%","MAG +15","Wisdom (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"Core","Shadowsmith","HP +500","Legend Materia 2","ATK +15","","Wisdom (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"I","Warrior of Light","DEF +10","RES +10","DEF +10","","Spirit (5★)","2","2","2","","Bravery (5★)","2","2","2",""
