"Realm","Character","Img","Name","Tier","LB Ver","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","Minimum LB Points","Mastery Bonus","Limit Break Bonus","Relic","Name (JP)","ID","Anima","GL","✓"
"VII","Cloud","","Guardian Choco-Mog","LBGS","","NAT","Self","","","","0.01","Summons Choco-Moogle for 5 seconds, grants [Protect], [Shell], [Haste], [Instant ATB 1], [DEF and RES +200% (25s)], [Last Stand], [Attach Wind 3 with Stacking] and [Damage Cap +20000] to Choco-Moogle","N","Self","250","","Guardian Summon Damage Up, Damage Reduction Barrier","Shura Gloves (VII)","Gチョコボ&モーグリ","20110036","","✓","✓"
"VII","Cloud","","Sonic Blade","LBO","","PHY","Single enemy","Physical","32.00","Wind, Dark","2.50","Four single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Demonslayer (VII)","ソニックブレード","20110038","","✓","✓"
"VII","Cloud","","Woven Bond: Cloud","LBC","","PHY","Single enemy","Physical","8.00","Wind, NE","0.01","Ten single attacks (0.80 each) capped at 19999, element of entry damage changes to Dark/NE if the user has any Attach Dark, activates VII Chain (max 150, field +0%) or adds 25 to the current VII Chain maximum limit, grants [Chain Force Mode: Cloud] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Rudra Talwar (VII)","紡絆・クラウド","20110041","","","✓"
"VII","Cloud","","Woven Bond: Cloud (Wind)","LBC","","PHY","Single enemy","Physical","8.00","Wind, NE","0.01","Ten single attacks (0.80 each) capped at 19999, activates Wind Chain (max 150, field +0%) or adds 25 to the current Wind Chain maximum limit, grants [Chain Force Mode: Cloud (Wind)] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Aegis Shield (VII)","紡絆・クラウド風","20110048","","","✓"
"VII","Cloud","","Woven Bond: Cloud (Dark)","LBC","","PHY","Single enemy","Physical","","Dark, NE","0.01","10 single-target physical attacks (0.80 each) capped at 19999, activates Dark Chain (150 or +25), Chain Force Mode & Instant ATB 1 to user
Chain Force Mode: At Chain Count 50 & 100, grants Dark Ability Damage +30% for 1 turn to user","N","Lowest HP% enemy","250","","","Bone Plate (VII)","紡絆・クラウド闇","20110058","","",""
"VII","Barret","","Volcanic Cannon","LBO","","PHY","Single enemy","Physical","40.00","Fire","2.50","Five single ranged attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Pilebunker (VII)","ボルカニックキャノン","20760019","","✓","✓"
"VII","Barret","","Woven Bond: Barret","LBC","","PHY","Single enemy","Physical","8.00","Fire, NE","0.01","Ten single ranged attacks (0.80 each) capped at 19999, activates VII Chain (max 150, field +0%) or adds 25 to the current VII Chain maximum limit and increases the current chain count on all enemies by 10, grants [Chain Force Mode: Barret] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Egoist's Armlet (VII)","紡絆・バレット","20760022","","","✓"
"VII","Tifa","","Crushing Palm","LBO","","PHY","Single enemy","Physical","40.00","Earth","2.50","Five single attacks (1.00 each scaling with LB gauge and LB honing level) capped at 99999, ignores DEF, 100% additional critical chance","N","Lowest HP% enemy","250","","Limit Break Damage Up, Cast Time Down","Ehrgeiz (VII)","破砕・掌打クラッシュ","20230017","10","✓","✓"
"VII","Tifa","","Woven Bond: Tifa (Earth)","LBC","","PHY","Single enemy","Physical","8.00","Earth, NE","0.01","Ten single ranged attacks (0.80 each) capped at 19999, activates Earth Chain (max 150, field +0%) or adds 25 to the current Earth Chain maximum limit, grants [Chain Force Mode: Tifa] and [Instant ATB 1] to the user","N","Lowest HP% enemy","250","","Limit Break Damage Up, Quick Cast 1","Spartan (VII)"," 紡絆・ティファ地","20230030","","","✓"
"VII","Aerith","","Woven Bond: Aerith","LBC","","WHT","Single enemy","Magical","","Holy, NE","0.01","10 single-target Holy/NE white magic attacks at Cap Break Level 1, activates VII Chain (150 or +25) & +10 Chain Count to all targets, Chain Force Mode & Instant ATB 1 to user
Chain Force Mode: After using White Magic abilities, grants Quick Cast 1 to party (max 2 chases)
","N","Lowest HP% enemy","250","","","Asura's Rod (VII)","紡絆・エアリス","20120022","","",""
