"Magicite","Img","Name","0","1","2","3","Type","Auto Target","Formula","Multiplier","Element","Time","Effects","Counter","Name (JP)","ID","GL","✓"
"Bomb (XII)","","Fire","20%","35%","50%","70%","BLK","Lowest HP% enemy","Magical","15.00","Fire","1.00","One single attack (15.00)","N","ファイア","","✓","✓"
"Bomb (XII)","","Lunge","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","4.50","-","1.00","One single attack (4.50)","N","体当たり","","✓","✓"
"Iguion (VIII)","","Magma Breath","20%","35%","50%","70%","NAT","All enemies","Magical","11.40","-","1.00","One group attack (11.40), causes [Petrify] (10%)","N","マグマブレス","","✓","✓"
"Iguion (VIII)","","Resonance","80%","65%","50%","30%","PHY","All enemies","Physical","3.60","-","1.00","One group attack (3.60)","N","レゾナンス","","✓","✓"
"Dragon (VII)","","Flame Thrower","20%","35%","50%","70%","NAT","All enemies","Magical","14.40","Fire","1.00","One group attack (14.40)","N","火炎放射","","✓","✓"
"Dragon (VII)","","Dragon Fang","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","5.40","-","1.00","One single attack (5.40)","N","ドラゴンファング","","✓","✓"
"Flame Dragon (X)","","Beef Up","20%","35%","50%","70%","NAT","Random ally without status","","","","1.00","Grants [ATK +15%] for Next Damaging Action","N","力をためる","","✓","✓"
"Flame Dragon (X)","","Flame Breath","80%","65%","50%","30%","NAT","All enemies","Magical","10.80","Fire","1.00","One group attack (10.80)","N","フレイムブレス","","✓","✓"
"Salamander (III)","","Fire Breath","20%","35%","50%","70%","NAT","All enemies","Magical","17.28","Fire","1.00","One group attack (17.28)","N","ファイアブレス","","✓","✓"
"Salamander (III)","","Attack","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","6.48","-","1.00","One single attack (6.48)","N","たたかう","","✓","✓"
"Mom Bomb (IV)","","Self-Destruct (Group)","20%","35%","50%","70%","BLK","All enemies","Magical","17.28","Fire","1.00","One group attack (17.28)","N","自爆（全体）","","✓","✓"
