"Element","Img","Name","Realm","Rarity","HP","ATK","DEF","MAG","RES","MND","SPD","Passive 1","1","Passive 2","2","Passive 3","3","Passive 4","4","Passive 5","5","Passive 6","6","Passive 7","7","Passive 8","8","Passive 9","9","Passive 10","10","Passive 11","11","Passive 12","12","Ultra Skill Img","Magicite Ultra Skill","Type","Auto Target","Formula","Multiplier","Ultra Skill Element","Time","Effects","Counter","Ultra Skill Name (JP)","Cooldown","Duration","ID","✓"
"Fire","","Bomb","XII","1","2648","155","91","181","159","162","87","Empower Fire","3","","","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000001","✓"
"Fire","","Iguion","VIII","1","3446","194","151","139","150","119","94","Dampen Fire","1","","","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000002","✓"
"Fire","","Dragon","VII","2","3916","232","166","175","154","177","100","Empower Fire","5","Attack Boon","5","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000003","✓"
"Fire","","Flame Dragon","X","2","3916","232","166","175","154","177","100","Dampen Fire","2","Defense Boon","5","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000004","✓"
"Fire","","Salamander","III","3","4298","255","183","192","169","194","116","Empower Fire","10","Deadly Strikes","5","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000005","✓"
"Fire","","Mom Bomb","IV","3","3201","187","110","220","192","195","120","Empower Fire","10","Attack Boon","10","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","Ultra Explode","NAT","All enemies","Magical","50.40","Fire","2.50","Four group attacks (12.60 each), causes [Imperil Fire 20%] for 25 seconds","N","【契】大爆発","10.00","20.00","161000006","✓"
"Fire","","Liquid Flame","V","3","3201","187","110","220","192","195","120","Dampen Fire","6","Defense Boon","10","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","Ultra Blaze","NAT","All enemies","Magical","50.40","Fire","0.01","Four group attacks (12.60 each), grants [Ice Blink 1] to all allies","N","【契】ほのお","10.00","20.00","161000007","✓"
"Fire","","Firemane","XII","4","3379","188","134","245","192","238","140","Dampen Blizzard","10","Resistance Boon","15","Spell Ward","5","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Bushfire","NAT","All enemies","Magical","63.00","Fire","2.50","Five group attacks (12.60 each), causes [Poison] (11%), grants [Resist Ice 20% (25s)] to all allies","N","【契】ブッシュファイア","10.00","20.00","161000057","✓"
"Fire","","King Bomb","XII","4","3484","203","120","240","209","212","140","Empower Fire","15","Magic Boon","15","Health Boon","5","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Chain Reaction","NAT","All enemies","Magical","63.00","Fire","2.50","Five group attacks (12.60 each), grants [Buff Fire 10% (15s)] to all allies","N","【契】爆導索","10.00","20.00","161000058","✓"
"Fire","","Maliris","IX","4","4604","245","150","245","185","182","142","Empower Fire","15","Attack Boon","15","Deadly Strikes","8","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Flame Slash","PHY","Lowest HP% enemy","Physical","25.20","Fire","2.50","Six single attacks (4.20 each), causes [Debuff Ice 20% (15s)]","N","【契】火炎斬り","10.00","20.00","161000059","✓"
"Fire","","Belias","XII","5","4987","265","163","265","199","197","162","Empower Fire","15","Deadly Strikes","10","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Hellfire","PHY","Lowest HP% enemy","Physical","40.60","Fire","2.50","One single attack (40.60) capped at 99999, grants [Buff Fire 10% (15s)] to all allies","N","【契】地獄の火炎","10.00","20.00","161000085","✓"
"Fire","","Phoenix","VI","5","4733","227","175","276","214","229","148","Dampen Blizzard","10","Health Boon","8","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Flames of Rebirth","NAT","All enemies","Magical","63.75","Fire","2.50","One group attack (63.75) capped at 99999, restores HP (55) to all allies, removes KO [Raise: 40%] to all allies","N","【契】転生の炎","10.00","20.00","161000086","✓"
"Fire","","Ifrit","X","6","5371","265","232","265","232","232","163","Perdition's Blessing","15","Stat Boon","10","[Inheritance Slot]","-","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Hellfire","NAT","Lowest HP% enemy","","","","0.01","One single attack that deals 99999 damage, grants [Buff Fire 20% (15s)] to all allies","N","【契】地獄の火炎","0.01","10.00","161000100","✓"
"Ice","","Gnoll","IX","1","3477","185","116","185","139","139","88","Empower Ice ","3","","","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000008","✓"
"Ice","","Snowman","II","1","3550","194","140","135","129","133","103","Dampen Blizzard","1","","","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000009","✓"
"Ice","","Snow Lion","VIII","2","3043","178","140","181","172","170","104","Empower Ice ","5","Magic Boon","5","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000010","✓"
"Ice","","White Dragon","I","2","3916","232","166","175","154","177","100","Dampen Blizzard","2","Defense Boon","5","","","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000011","✓"
"Ice","","Taharka","IX","3","4304","234","170","162","156","160","147","Empower Ice ","10","Blade Ward","3","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","-","NAT","-","","","","2.50","","N","-","10.00","20.00","161000012","✓"
"Ice","","Wendigo","XII","3","4311","255","198","169","140","142","117","Empower Ice","10","Magic Boon","10","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","Ultra Ice Break","NAT","All enemies","Magical","50.40","Ice","2.50","Four group attacks (12.60 each), causes [Imperil Ice 20%] for 25 seconds","N","【契】コルドブレイク","10.00","20.00","161000013","✓"
"Ice","","Sealion","IX","3","3201","187","110","220","192","195","120","Dampen Blizzard","6","Defense Boon","10","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","","","Ultra Icestorm","NAT","All enemies","Magical","50.40","Ice","0.01","Four group attacks (12.60 each), grants [Wind Blink 1] to all allies","N","【契】ふぶき","10.00","20.00","161000014","✓"
"Ice","","Krysta","VIII","4","3484","203","120","240","209","212","140","Dampen Air","10","Defense Boon","15","Blade Ward","5","[Inheritance Slot]","-","","","","","","","","","","","","","","","","","","Ultra Flash-Freeze","NAT","All enemies","Magical","63.00","Ice","2.50","Five group attacks (12.60 each), grants [Wind Stoneskin: Magicite 30%] to all allies","N","【契】凍天撃","10.00","20.00","161000060","✓"
