"Source Type","Source","Img","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID","GL","✓"
"-","-","","Attack","PHY","Single","Physical","1.00","-","1.50","One single attack (1.00)","Y","Lowest HP% enemy","50","Special","30151001","✓","✓"
"Counter Status","High Retaliate","","Attack","PHY","Single","Physical","1.20","-","1.50","One single attack (1.20)","Y","Lowest HP% enemy","50","Combat","30151002","✓","✓"
"Counter Status","Fire Cloak","","Fiery Retribution","BLK","All enemies","Magical","4.85","Fire, NE","2.50","One group attack (4.85)","Y","All enemies","50","Black Magic","30511743","✓","✓"
"Counter Status","Revenge Counter","","Revenge Counter","PHY","Single enemy","Physical","2.00","Ice, NE","1.50","Two single attacks (1.00 each)","Y","Lowest HP% enemy","0","Monk","30544015","✓","✓"
"Follow-Up Status","Intense Fire Follow-Up","","Intense Fire","BLK","All enemies","Magical","6.70","Fire, NE","0.01","Five group attacks (1.34 each)","Y","All enemies","0","Black Magic","30541619","","✓"
"Follow-Up Status","Magic Purge Follow-Up","","Magic Purge","BLK","Single enemy","Magical","7.68","Fire, Wind, Ice, NE","0.01","Six single attacks (1.28 each)","Y","Lowest HP% enemy","0","Black Magic","30541711","","✓"
"Follow-Up Status","Fluffy Dance Follow-Up","","Fluffy Dance","NAT","All allies","Magical","2.00","Holy","0.01","Restores HP (25)","N","All allies","0","Dancer","30549044","","✓"
"Follow-Up Status","Dual Awoken Magika Mode II: Elarra","","Dual Magika Rufus","WHT","All allies","","","","0.01","Restores HP (55), grants [Regenga] and [High Quick Cast 2]","N","All allies","0","White Magic","31541854","✓","✓"
"Follow-Up Status","Awoken Keeper Mode","","Awoken Keeper Mode Critical","NAT","All allies","","","","0.01","Grants [Awoken Keeper Mode Critical Chance] to all allies","N","All allies","0","Support","30545082","✓","✓"
"Follow-Up Status","Unraveled History Follow-Up","","Unraveled History","NAT","All allies","","","","0.01","Grants [Critical Damage +50% 1]","N","All allies","0","Support","30545071","✓","✓"
"Follow-Up Status","Awoken Magika","","Magika Cantus","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (10/15/25/35/45) at rank 1/2/3/4/5 of the triggering ability, damages undead","N","All allies","0","White Magic","30542614","✓","✓"
"Follow-Up Status","Elbow Follow-Up","","Elbow Blow","PHY","Single enemy","Physical","2.00","Earth, Holy, NE","0.01","One single attack (2.00) capped at 99999","Y","Lowest HP% enemy","0","Heavy","30544151","✓","✓"
"Follow-Up Status","Aeroburst Follow-Up","","Aeroburst","NAT","Single enemy","Hybrid","","Wind, NE","0.01","Five single hybrid ranged attacks (0.40 or 1.67 each), 100% hit rate","Y","Lowest HP% enemy","0","Special","30544154","✓","✓"
"Follow-Up Status","Mog Follow-Up","","Moogle Magic","BLK","Single enemy","Magical","7.60","Holy, Fire, Ice, Lightning, NE","0.01","Five single attacks (1.52 each)","Y","Lowest HP% enemy","0","Black Magic","30540111","✓","✓"
"Follow-Up Status","Mog Follow-Up","","Moogle Heal","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","N","All allies","0","White Magic","30542311","✓","✓"
"Follow-Up Status","Archivist's Teachings Follow-Up","","Archivist's Teachings","BLK","Single enemy","Magical","19.50","Holy, Fire, Ice, Lightning, NE","0.01","Ten single attacks (1.95 each), grants [Buff Holy 10% (15s)], [Buff Fire 10% (15s)], [Buff Ice 10% (15s)] and [Buff Lightning 10% (15s)] to the user","Y","Lowest HP% enemy","0","Black Magic","30541205","✓","✓"
"Follow-Up Status","Marine Wave Follow-Up","","Marine Wave 1","BLK","All enemies","Magical","6.66","Water, NE","0.01","One single attack (6.66), causes [Debuff Fire 10% (15s)]","Y","All enemies","0","Black Magic","30541068","✓","✓"
"Follow-Up Status","Marine Wave Follow-Up","","Marine Wave 2","BLK","Single enemy","Magical","8.16","Water, NE","0.01","Four single attacks (2.04 each), grants [Buff Water 10% (15s)] to all allies","Y","Lowest HP% enemy","0","Black Magic","30541069","✓","✓"
"Follow-Up Status","Striking Reminiscence Follow-Up","","Striking Reminiscence","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","One single ranged hybrid attacks (4.52 or 18.64), ignores DEF and RES, 100% hit rate","Y","Lowest HP% enemy","0","Support","31540486","✓","✓"
"Follow-Up Status","Our Bond Follow-Up","","Our Bond","PHY","Single enemy","Physical","3.52","Earth, Holy, NE","0.01","One single attack (3.52) capped at 99999, 3.77 multiplier if Tyro, Elarra or Wedge are alive and 2+ Core/Beyond allies are alive, 50%/100% additional critical chance if 0-1/2+ Core/Beyond allies are alive, grants [High Quick Cast 1] to the user if 4+ Core/Beyond allies are alive, 100% hit rate","Y","Lowest HP% enemy","0","Knight","31540628","✓","✓"
"Follow-Up Status","Wondrous Mirage Follow-Up","","Wondrous Mirage","NAT","Single enemy","Hybrid","","Wind, NE","0.01","Six single hybrid ranged attacks (0.32 or 1.32 each), 100% hit rate, causes [Imperil Wind 10% (15s)], grants [Buff Wind 10% (15s)] to the user","Y","Lowest HP% enemy","0","Black Magic","31540626","✓","✓"
"Follow-Up Status","Historical Covenant Follow-Up","","Historical Covenant","BLK","Single enemy","Magical","7.50","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","1/4 single attacks (7.50 or 2.04 each) capped at 99999/9999 every 1+2n/2+2n uses, grants [Quick Cast 1] to the user every 2+2n uses","Y","Lowest HP% enemy","0","Black Magic","31541444","✓","✓"
"Follow-Up Status","Archive Authority Mode","","Magical Surfing","BLK","Single enemy","Magical","9.99","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","One single attack (9.99/10.99) capped at 99999 if 1+ of Tyro, Elarra, Biggs or Wedge aren't/are alive","Y","Lowest HP% enemy","0","Black Magic","31541448","✓","✓"
"Follow-Up Status","Dual Awoken Record Keeper Mode I: Tyro","","Dual Clearsight Grimoire","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","Ten single hybrid attacks (0.12/0.19/0.26/0.32/0.39 or 0.41/0.64/0.87/1.10/1.33 each) at triggering ability rank 1/2/3/4/5, 100% hit rate","Y","Lowest HP% enemy","0","Support","31541436","✓","✓"
"Follow-Up Status","Dual Awoken Record Keeper Mode II: Tyro","","Dual Protection Grimoire","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","One single hybrid attacks (5.92 or 24.78) capped at 9999/19999 if 2+ Core/Beyond allies aren't/are alive, ignores DEF and RES, 100% hit rate, grants [40% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","0","Support","31541453","✓","✓"
"Follow-Up Status","Dual Awoken Wind Mode II (Wedge)","","Dual Wonder Cyclone","NAT","Single enemy","Hybrid","","Wind, NE","0.01","Six single hybrid attacks (0.48 or 1.98 each), 100% hit rate, grants [Quick Cast 1] to all allies in the character's row","Y","Lowest HP% enemy","0","Black Magic","31541440","✓","✓"
"Follow-Up Status","Apprentice Historian Mode","","Nostalgic Grimoire","NAT","Single enemy","","","-","0.01","One single attack that deals 99999 damage, causes [Imperil Prismatic 10% (5s)], removes Apprentice Historian Mode after triggering two times","Y","Lowest HP% enemy","0","Support","31541584","✓","✓"
"Follow-Up Status","Dual Awoken Record Seeker Mode I (Tyro)","","Dual Shot Down","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison, NE","0.01","One single hybrid attack (3.17 or 7.06) capped at 99999","Y","Lowest HP% enemy","0","Support","31542130","","✓"
"Follow-Up Status","Awoken Height of Evil Mode","","Delta Storm","NAT","Single enemy","Hybrid","","Holy, Dark, NE","0.01","Six single hybrid attacks (2.41 or 2.45), [Buff Holy 10% (15s)] and [Buff Dark 10% (15s)] to the user","Y","Lowest HP% enemy","0","Darkness","31542418","","✓"
"Follow-Up Status","Zenith Mode: Ace (Fire)","","Spirit Attack: Ace ","BLK","Single enemy","Magical","10.80","Fire, NE","0.01","Four single attacks (2.70 each), 3.05 if exploiting Fire weakness","Y","Lowest HP% enemy","0","Black Magic","31542488","","✓"
"Follow-Up Status","Zenith Mode: Trey (Fire, Ice, Water)","","Spirit Attack: Trey","PHY","Single enemy","Physical","5.19","Fire, Ice, Water, NE","0.01","One single attack (5.19) capped at 99999, 5.83 if exploiting Fire/Ice/Water weakness","Y","Lowest HP% enemy","0","Sharpshooter","31542490","","✓"
"Follow-Up Status","Dual Awoken Soother Mode II (Deuce)","","Soothing Whistle","WHT","All allies","","","","0.01","Restores HP (55), grants [Last Stand] and [Quick Cast 1]","N","All Allies","0","White Magic","31542493","","✓"
"Follow-Up Status","Woven Bond: Ace (Fire)","","Fire Guidance: Ace","BLK","Single enemy","Magical","5.28","Fire, NE","0.01","Four single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31542495","","✓"
"Follow-Up Status","Woven Bond: Trey","","Kindred Guidance: Trey","PHY","Single enemy","Physical","1.24","Fire, Ice, Water, NE","0.01","Four single ranged attacks (0.31 each), 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","31542497","","✓"
"Follow-Up Status","Zenith Mode: Fusoya (Holy)","","Spirit Attack: Fusoya (Holy)","NAT","Single enemy","","","-","0.01","Grants [Buff Holy 10% (5s)] and [Quick Cast 1] to all allies","N","All Allies","0","White Magic","31542525","","✓"
"Follow-Up Status","Zenith Mode: Palom (Lightning)","","Spirit Attack: Palom (Lightning)","NAT","Self","","","","0.01","Grants [Buff Lightning 20% (15s)], [Buff Fire 20% (15s)], [Buff Ice 20% (15s)] and [Black Magic Quick Cast 3] to the user","N","Self","0","White Magic","31542527","","✓"
"Follow-Up Status","Chain Force Mode: Fusoya (Holy)","","Holy Guidance: Fusoya","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies","N","All Allies","0","White Magic","31542538","","✓"
"Follow-Up Status","Chain Force Mode: Palom (Lightning)","","Lightning Guidance: Palom","BLK","Single enemy","Magical","7.80","Lightning, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with [Lightning Guidance: Palom Uses], grants [Lightning Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31542540","","✓"
"Follow-Up Status","Zenith Mode: Fang (Dragoon)","","Spirit Attack: Fang (Dragoon)","NAT","Self","","","","0.01","Grants [Dragoon Instant Cast 2] and [Dragoon +30% Boost 2] to the user","N","Self","0","Special","31542610","","✓"
"Follow-Up Status","Dual Awoken Dragoon Mode I (Fang v2)","","Dual Bahamut Drive","PHY","Single enemy","Physical","5.28","Wind, NE","0.01","One single ranged jump attack (5.28) capped at 99999","Y","Lowest HP% enemy","0","Dragoon","31542611","","✓"
"Follow-Up Status","Dual Awoken Dragoon Mode II (Fang v2)","","Dual Max Voltage","NAT","All allies","","","","0.01","Grants [100% Critical 3] to all allies","N","All Allies","0","Special","31542612","","✓"
"Follow-Up Status","Zenith Mode: Ricard (Wind, Lightning, Water, Dark)","","Spirit Attack: Ricard (Lightning, Wind, Water, Dark)","NAT","All allies","","","","0.01","Grants [Dragoon Dualcast 1], [Dragoon +30% Boost 1], [Dragoon Instant Cast 1], [No Air Time 1] to all allies if 4+ Dragoon members alive, Grants [Dragoon Dualcast 1], [Dragoon +30% Boost 1], [Dragoon Instant Cast 1] to the user if 0-3 Dragoon members alive","N","All Allies","0","Special","31542613","","✓"
