"Realm Core Core Core Core Core Core Core Core Core Core Core Core Core Core Core Core Core Core I I I I I I I I I II II II II II II II II II","Character Tyro Tyro Tyro Tyro Tyro Tyro Tyro Tyro Tyro Elarra Elarra Elarra Elarra Elarra Elarra Elarra Elarra Elarra Warrior of Light Warrior of Light Warrior of Light Warrior of Light Warrior of Light Warrior of Light Warrior of Light Warrior of Light Warrior of Light Maria Maria Maria Maria Maria Maria Maria Maria Maria","Row 1 2 3 4 5 6 7 8 9 1 2 3 4 5 6 7 8 9 1 2 3 4 5 6 7 8 9 1 2 3 4 5 6 7 8 9","Column 1 ","Column 2 ","Column 3 ","Column 4 ","Column 5 ","Column 6 ","Column 7 ","Column 8 ","Column 9 ","Mote Required 1 White White White White White White White White White White White White White White White White White White White White White White White White White White White White White White White White White White White White","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","Mote Required 2 Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow Yellow","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","Mote Required 3 Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green Green","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 "
"II","Firion","1","Atk+60","-","-","-","-","-","-","-","Samurai or Knight Ability+6%","White","12","-","-","-","-","","-","-","14","Yellow","12","-","-","-","-","","-","-","14","Green","12","-","-","-","-","","-","-","14"
"II","Firion","2","-","-","Atk+10","Atk+10","-","Atk+10","Atk+10","Atk+10","Atk+10","White","-","-","-","-","-","","-","-","-","Yellow","-","-","-","-","-","","-","-","-","Green","-","-","3","3","","7","9","14","20"
"II","Firion","3","-","-","Start","Atk+10","Atk+10","Atk+10","Atk+10","-","-","White","-","-","-","-","-","","-","-","-","Yellow","-","-","-","-","-","","-","-","-","Green","-","-","-","3","5","7","9","-","-"
"II","Firion","4","-","Def+10","HP+100","HP+100","-","-","-","-","-","White","-","-","1","2","-","","-","-","-","Yellow","-","1","1","2","-","","-","-","-","Green","-","3","1","2","-","","-","-","-"
"II","Firion","5","Magia EXP+400","Res+10","-","HP+100","HP+100","-","-","HP+400","HP+1000","White","3","4","-","3","3","","-","7","10","Yellow","3","2","-","3","3","","-","7","10","Green","3","-","-","3","3","","-","7","10"
"II","Firion","6","-","Def+10","Res+10","-","HP+100","HP+200","HP+200","HP+200","-","White","-","-","6","-","5","5","7","7","-","Yellow","-","3","3","-","5","5","7","7","-","Green","-","6","-","-","5","5","7","7","-"
"II","Firion","7","Spd+10","-","Def+10","Def+10","Res+10","-","-","-","-","White","5","-","-","-","10","","-","-","-","Yellow","-","-","5","5","5","","-","-","-","Green","10","-","10","10","-","","-","-","-"
"II","Firion","8","PHY+6%","-","Cast Time -8%","-","Def+10","Res+10","-","-","-","White","10","-","7","-","-","14","-","-","-","Yellow","10","-","7","-","7","7","-","-","-","Green","10","-","7","-","14","","-","-","-"
"II","Firion","9","-","-","-","-","-","II Buff","-","-","-","White","-","-","-","-","-","16","-","-","-","Yellow","-","-","-","-","-","16","-","-","-","Green","-","-","-","-","-","16","-","-","-"
"III","Onion Knight","1","","","","","","","","","","White","","","","","","","","","","Yellow","","","","","","","","","","Green","","","","","","","","",""
"III","Onion Knight","2","","","","","","","","","","White","","","","","","","","","","Yellow","","","","","","","","","","Green","","","","","","","","",""
"III","Onion Knight","3","","","","","","","","","","White","","","","","","","","","","Yellow","","","","","","","","","","Green","","","","","","","","",""
"III","Onion Knight","4","","","","","","","","","","White","","","","","","","","","","Yellow","","","","","","","","","","Green","","","","","","","","",""
"III","Onion Knight","5","","","","","","","","","","White","","","","","","","","","","Yellow","","","","","","","","","","Green","","","","","","","","",""
"III","Onion Knight","6","","","","","","","","","","White","","","","","","","","","","Yellow","","","","","","","","","","Green","","","","","","","","",""
"III","Onion Knight","7","","","","","","","","","","White","","","","","","","","","","Yellow","","","","","","","","","","Green","","","","","","","","",""
"III","Onion Knight","8","","","","","","","","","","White","","","","","","","","","","Yellow","","","","","","","","","","Green","","","","","","","","",""
"III","Onion Knight","9","","","","","","","","","","White","","","","","","","","","","Yellow","","","","","","","","","","Green","","","","","","","","",""
"IV","Cecil (Paladin)","1","-","-","-","-","-","-","-","-","Atk+30","White","-","-","-","-","-","","-","-","6","Yellow","-","-","-","-","-","","-","-","6","Green","-","-","-","-","-","","-","-","6"
"IV","Cecil (Paladin)","2","HP+1000","HP+500","-","-","HP+100","HP+100","HP+100","-","-","White","11","9","-","-","3","2","1","-","-","Yellow","11","9","-","-","3","2","1","-","-","Green","11","9","-","-","3","2","1","-","-"
"IV","Cecil (Paladin)","3","-","HP+300","HP+100","HP+100","HP+100","-","Start","Atk+10","Atk+10","White","-","8","6","5","4","","-","-","-","Yellow","-","8","6","5","4","","-","-","-","Green","-","8","6","5","4","","-","3","5"
"IV","Cecil (Paladin)","4","HP+100","HP+100","HP+100","-","-","-","Def+10","Spd+10","Atk+10","White","8","7","6","-","-","","-","1","-","Yellow","8","7","6","-","-","","1","-","-","Green","8","7","6","-","-","","3","3","7"
"IV","Cecil (Paladin)","5","IV Buff","-","-","-","-","Def+10","Res+10","-","Magia EXP+400","White","16","-","-","-","-","","3","-","3","Yellow","16","-","-","-","-","3","1","-","3","Green","16","-","-","-","-","6","-","-","3"
"IV","Cecil (Paladin)","6","-","-","-","Res+10","Def+10","Res+10","Def+10","-","-","White","-","-","-","8","-","4","-","-","-","Yellow","-","-","-","4","3","2","2","-","-","Green","-","-","-","-","6","","4","-","-"
"IV","Cecil (Paladin)","7","-","-","Holy Ability+6%","Def+10","-","-","Res+10","Def+10","Cast Time -8%","White","-","-","14","-","-","","6","-","7","Yellow","-","-","14","4","-","","3","3","7","Green","-","-","14","8","-","","-","6","7"
"IV","Cecil (Paladin)","8","-","-","-","Res+10","-","-","-","Res+10","-","White","-","-","-","8","-","","-","6","-","Yellow","-","-","-","4","-","","-","3","-","Green","-","-","-","-","-","","-","-","-"
"IV","Cecil (Paladin)","9","-","-","-","-","-","Holy+6%","Res+10","Def+10","-","White","-","-","-","-","-","10","10","-","-","Yellow","-","-","-","-","-","10","5","5","-","Green","-","-","-","-","-","10","-","10","-"
"IV","Rydia","1","IV Buff","HP+1000","-","-","-","Cast Time -8%","-","-","-","White","16","10","-","-","-","7","-","-","-","Yellow","16","10","-","-","-","7","-","-","-","Green","16","10","-","-","-","7","-","-","-"
"IV","Rydia","2","-","HP+400","HP+300","HP+200","-","HP+100","-","Res+10","Weakness+6%","White","-","7","7","7","-","3","-","14","10","Yellow","-","7","7","7","-","3","-","7","10","Green","-","7","7","7","-","3","-","0","10"
"IV","Rydia","3","-","-","-","HP+100","HP+100","HP+100","-","Def+10","Def+10","White","-","-","-","5","3","3","-","0","0","Yellow","-","-","-","5","3","3","-","14","10","Green","-","-","-","5","3","3","-","7","5"
"IV","Rydia","4","-","Summoners’ Band","-","-","-","HP+100","SPD+10","-","Res+10","White","-","30","-","-","-","2","10","-","10","Yellow","-","30","-","-","-","2","0","-","5","Green","-","30","-","-","-","2","5","-","0"
"IV","Rydia","5","-","-","-","-","Magia EXP+400","HP+100","-","-","Def+10","White","-","-","-","-","3","1","-","-","0","Yellow","-","-","-","-","3","1","-","-","10","Green","-","-","-","-","3","1","-","-","5"
"IV","Rydia","6","-","Black or Summon Ability+6%","-","-","-","Mag+10","-","Res+10","Res+10","White","-","14","-","-","-","0","-","6","6","Yellow","-","14","-","-","-","3","-","3","3","Green","-","14","-","-","-","0","-","0","0"
"IV","Rydia","7","-","Mag+10","Mag+10","Mag+10","Mag+10","Mag+10","Start","Def+10","-","White","-","0","0","0","0","0","S","0","-","Yellow","-","20","9","7","5","3","S","4","-","Green","-","0","0","0","0","0","S","2","-"
"IV","Rydia","8","-","-","Mag+10","Mag+10","-","Mag+10","-","Res+10","-","White","-","-","0","0","-","0","-","3","-","Yellow","-","-","9","7","-","3","-","1","-","Green","-","-","0","0","-","0","-","0","-"
"IV","Rydia","9","-","-","Mag+10","-","-","-","Mag+60","-","-","White","-","-","0","-","-","","12","-","-","Yellow","-","-","14","-","-","","12","-","-","Green","-","-","0","-","-","","12","-","-"
"IV","Kain","1","-","-","-","-","-","-","-","-","Dragoon Ability+6%","White","-","-","-","-","-","","-","-","14","Yellow","-","-","-","-","-","","-","-","14","Green","-","-","-","-","-","","-","-","14"
"IV","Kain","2","-","-","Atk+10","Atk+10","-","Atk+10","Atk+10","Atk+10","Atk+10","White","-","-","-","-","-","","-","-","-","Yellow","-","-","-","-","-","","-","-","-","Green","-","-","3","3","","7","9","14","20"
