"Realm Core Core Core Core Core Core Core Core Core Core Core Core Core Core","Character Tyro Tyro Tyro Tyro Tyro Tyro Tyro Tyro Tyro Tyro Tyro Tyro Tyro Tyro","Img ","Name HP +100 HP +200 HP +300 HP +400 HP +1000 HP +100 HP +100 HP +100 HP +100 HP +200 HP +200 HP +200 HP +200 HP +400","Effect HP +100 HP +200 HP +300 HP +400 HP +1000 HP +100 HP +100 HP +100 HP +100 HP +200 HP +200 HP +200 HP +200 HP +400","Mote 1 Required Spirit (6★) Spirit (6★) Spirit (6★) Spirit (6★) Spirit (6★) Spirit (7★) Spirit (7★) Spirit (7★) Spirit (7★) Spirit (7★) Spirit (7★) Spirit (7★) Spirit (7★) Spirit (7★)","5 7 10 13 15 1 1 1 1 2 2 2 2 4","Mote 2 Required Dexterity (6★) Dexterity (6★) Dexterity (6★) Dexterity (6★) Dexterity (6★) Dexterity (7★) Dexterity (7★) Dexterity (7★) Dexterity (7★) Dexterity (7★) Dexterity (7★) Dexterity (7★) Dexterity (7★) Dexterity (7★)","5 7 10 13 15 1 1 1 1 2 2 2 2 4","Mote 3 Required Vitality (6★) Vitality (6★) Vitality (6★) Vitality (6★) Vitality (6★) Vitality (7★) Vitality (7★) Vitality (7★) Vitality (7★) Vitality (7★) Vitality (7★) Vitality (7★) Vitality (7★) Vitality (7★)","5 7 10 13 15 1 1 1 1 2 2 2 2 4","Mote 4 Required ","","Hero Mote Required ",""
"Core","Tyro","","HP +400","HP +400","Spirit (7★)","4","Dexterity (7★)","4","Vitality (7★)","4","Sparkling (6★)","5","",""
"Core","Tyro","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Tyro I","4"
"Core","Tyro","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Tyro I","4"
"Core","Tyro","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Tyro I","4"
"Core","Tyro","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Tyro I","4"
"Core","Tyro","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Tyro I","4"
"Core","Tyro","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Tyro I","4"
"Core","Tyro","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Tyro I","4"
"Core","Tyro","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","Sparkling (6★)","5","Tyro I","4"
"Core","Tyro","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Tyro II","4"
"Core","Tyro","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Tyro II","4"
"Core","Tyro","","HP +100","HP +100","Spirit (7★)","1","Dexterity (7★)","1","Vitality (7★)","1","","","Tyro II","4"
"Core","Tyro","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Tyro II","4"
"Core","Tyro","","HP +200","HP +200","Spirit (7★)","2","Dexterity (7★)","2","Vitality (7★)","2","","","Tyro II","4"
"Core","Tyro","","HP +400","HP +400","Spirit (7★)","4","Dexterity (7★)","4","Vitality (7★)","4","","","Tyro II","4"
"Core","Tyro","","HP +1000","HP +1000","Spirit (7★)","10","Dexterity (7★)","10","Vitality (7★)","10","","","Tyro II","10"
"Core","Tyro","","ATK +10","ATK +10","Vitality (6★)","3","","","","","","","",""
"Core","Tyro","","ATK +10","ATK +10","Vitality (6★)","5","","","","","","","",""
"Core","Tyro","","ATK +10","ATK +10","Vitality (6★)","7","","","","","","","",""
"Core","Tyro","","ATK +10","ATK +10","Vitality (6★)","9","","","","","","","",""
"Core","Tyro","","ATK +10","ATK +10","Vitality (6★)","14","","","","","","","",""
"Core","Tyro","","ATK +10","ATK +10","Vitality (7★)","3","","","","","","","Tyro I",""
"Core","Tyro","","ATK +10","ATK +10","Vitality (7★)","3","","","","","","","Tyro II",""
"Core","Tyro","","ATK +10","ATK +10","Vitality (7★)","3","","","","","","","Tyro II",""
"Core","Tyro","","ATK +10","ATK +10","Vitality (7★)","3","","","","","","","Tyro II",""
"Core","Tyro","","DEF +10","DEF +10","Dexterity (6★)","1","Vitality (6★)","3","","","","","",""
"Core","Tyro","","DEF +10","DEF +10","Dexterity (6★)","2","Vitality (6★)","4","","","","","",""
"Core","Tyro","","DEF +10","DEF +10","Dexterity (6★)","5","Vitality (6★)","10","","","","","",""
"Core","Tyro","","DEF +10","DEF +10","Dexterity (6★)","7","Vitality (6★)","14","","","","","",""
"Core","Tyro","","MAG +10","MAG +10","Dexterity (6★)","3","","","","","","","",""
"Core","Tyro","","MAG +10","MAG +10","Dexterity (6★)","5","","","","","","","",""
"Core","Tyro","","MAG +10","MAG +10","Dexterity (6★)","7","","","","","","","",""
"Core","Tyro","","MAG +10","MAG +10","Dexterity (6★)","10","","","","","","","",""
