"Realm","Character","Img","Name","Effect","Unlock Criteria","Name (JP)","ID","GL","✓"
"Core","Tyro","","Attunement I","Increases damage dealt by 10% when exploiting elemental weakness","Use Tyro's Memory Crystal","みやぶるⅠ","111000020","✓","✓"
"Core","Tyro","","Attunement II","Increases damage dealt by 20% when exploiting elemental weakness","Chance to obtain with Tyro in party","みやぶるⅡ","111000021","✓","✓"
"Core","Tyro","","Dr. Mog's Teachings","Grants 500 Soul Break points at the beginning of the Dungeon","Use Tyro's Memory Crystal II, chance to obtain with Tyro in party","Dr.モグの教え","111000022","✓","✓"
"Core","Tyro","","Scholar's Boon","Increases damage dealt by 30% when exploiting elemental weakness","Bring Tyro to level 99","学者の慧眼","111000023","✓","✓"
"Core","Warrior","","Blade's Edge","PHY attacks deal 10% more damage when equipping a sword","Use Warrior's Memory Crystal","戦士の剣撃","111000032","✓","✓"
"Core","Warrior","","Warrior's Drive","Restores 1 use for all Combat abilities at the beginning of the battle","Use Warrior's Memory Crystal II, chance to obtain with Warrior in party","戦士の気迫","111000033","✓","✓"
"Core","Warrior","","Warrior's Honor","PHY attacks deal 30% more damage when equipping a sword","Bring Warrior to level 99","戦士の威信","111000034","✓","✓"
"Core","Knight","","Knight of Steel","DEF +10% when equipping a helm","Use Knight's Memory Crystal","鋼の騎士","111000042","✓","✓"
"Core","Knight","","Defensive Aspect","Grants [Protect] and [Low Regen] at the beginning of the battle","Use Knight's Memory Crystal II, chance to obtain with Knight in party","護りの要","111000043","✓","✓"
"Core","Knight","","Steadfast Knight","DEF +25% when equipping a helm","Bring Knight to level 99","牢固なる騎士","111000044","✓","✓"
"Core","Monk","","Fist of the Monk","Monk abilities deal 15% more damage","Use Monk's Memory Crystal","モンクの拳","111000060","✓","✓"
"Core","Monk","","Martial Enlightenment","8% chance to dualcast Monk abilities","Chance to obtain with Monk in party","武術開眼","111000061","✓","✓"
"Core","Monk","","Blemished Insight","10% chance to counter PHY attacks with Chakra","Use Monk's Memory Crystal II, chance to obtain with Monk in party","磨き抜かれし感覚","111000062","✓","✓"
"Core","Monk","","Honed Senses","30% chance to counter PHY attacks with Chakra","Bring Monk to level 99","研ぎ澄まされし感覚","111000063","✓","✓"
"Core","Red Mage","","Magic Flame I","30% chance to turn Attack into an ability (BLK: single, 0.70 magical Fire)","Use Red Mage's Memory Crystal","魔法攻撃・炎Ⅰ","111000090","✓","✓"
"Core","Red Mage","","Secrets of the Red Mage","13% chance to dualcast Black Magic abilities","Use Red Mage's Memory Crystal II, chance to obtain with Red Mage in party","赤魔道士の奥義","111000091","✓","✓"
"Core","Red Mage","","Mage-of-all-Trades","Attack turns into an ability, randomly (BLK: single, 2.60 magical Fire, Ice or Lightning) or (WHT: single, restores HP (39))","Bring Red Mage to level 99","万能の魔道士","111000092","✓","✓"
"Core","Black Mage","","Mana Spring I","50% chance to restore 1 use for all Black Magic abilities at the beginning of the battle","Use Black Mage's Memory Crystal","魔力の泉Ⅰ","111000110","✓","✓"
"Core","Black Mage","","Mana Spring II","Restores 1 use for all Black Magic abilities at the beginning of the battle","Chance to obtain with Black Mage in party","魔力の泉Ⅱ","111000111","✓","✓"
"Core","Black Mage","","Omnicast Fire","Attack turns into an ability (BLK: group, 1.50 magical Fire)","Use Black Mage's Memory Crystal II, chance to obtain with Black Mage in party","全体化・炎","111000112","✓","✓"
"Core","Black Mage","","Omnicast Direflame","Attack turns into an ability (BLK: group, 2.08 magical Fire)","Bring Black Mage to level 99","全体化・猛炎","111000113","✓","✓"
"Core","Magus","","Forbidden Arts I","8% chance to dualcast Black Magic abilities","Use Magus's Memory Crystal","魔人の禁術Ⅰ","111000120","✓","✓"
"Core","Magus","","Forbidden Arts II","15% chance to dualcast Black Magic abilities","Chance to obtain with Magus in party","魔人の禁術Ⅱ","111000121","✓","✓"
"Core","Magus","","Forbidden Knowledge","Attack turns into an ability (BLK: single, 1.50 magical Fire/Lightning/Ice)","Use Magus's Memory Crystal II, chance to obtain with Magus in party","禁忌の魔術","111000122","✓","✓"
"Core","Magus","","Forbidden Sorcery","Attack turns into an ability (BLK: group, 2.00 magical Fire/Lightning/Ice)","Bring Magus to level 99","禁忌の大魔術","111000123","✓","✓"
"Core","White Mage","","Concentration I","50% chance to restore 1 use for all White Magic abilities at the beginning of the battle","Use White Mage's Memory Crystal","精神統一Ⅰ","111000140","✓","✓"
