"Tier SASB","Passive Cast Time Down","Level 1 x1.03","Level 2 x1.50","Level 3 x2.00","Level 4 x2.50","Level 5 x3.00","Level 6 ","Level 7 ","Level 8 ","Level 9 ","Level 10 ","Level 11 ","Level 12 ","Level 13 ","Level 14 ","Level 15 "
"SASB","Damage Up","5%","20%","30%","40%","50%","","","","","","","","","",""
"SASB","Dual Blink 1","-","-","-","-","Dual Blink 1","","","","","","","","","",""
"SASB","Heal Boost","1%","6%?","9%","12%?","15%","","","","","","","","","",""
"SASB","Stat Boon","1","4","6","8","10","","","","","","","","","",""
"SASB","Damage Reduction Barrier","10%","20%","40%","50%","75%","","","","","","","","","",""
"AASB","Damage Up","5%","20%","30%","40%","50%","","","","","","","","","",""
"AASB","Damage Up 2","","5%","","20%","","30%","","40%","","50%","","","","",""
"AASB","Heal Boost","1%","6%","9%","12%","15%","","","","","","","","","",""
"AASB","Stat Boon","1","4","6","8","10","","","","","","","","","",""
"AASB","Cast Time Down","-","-","-","-","-","x1.03","x1.50","x2.00","x2.50","x3.00","","","","",""
"AASB","Damage Reduction Barrier","-","-","-","-","-","10%","20%","40%","50%","75%","","","","",""
"AASB","Heal Boost","-","-","-","-","-","1%","6%?","9%?","12%?","15%?","","","","",""
"AASB","Stat Boon","-","-","-","-","-","1","4","6","8","10","","","","",""
"AASB","Extra Usage","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"AOSB","Damage Up","5%","10%","15%","20%?","25%","","","","","","","","","",""
"AOSB","SB Gauge Down","-","-","-","-","-","-","-","-","-","250","","","","",""
"ADSB","Cast Time Down","x1.03","x1.50","x2.00","x2.50","x3.00","","","","","","","","","",""
"ADSB","Stat Boon","1","4","6","8","10","","","","","","","","","",""
"ADSB","SB Gauge Down","-","-","-","-","-","-","-","-","-","250","","","","",""
"LBGS","Guardian Summon Damage Up","Guardian Summon +5% Boost","Guardian Summon +10% Boost","Guardian Summon +15% Boost","Guardian Summon +20% Boost","Guardian Summon +25% Boost","","","","","","","","","",""
"LBGS","Damage Reduction Barrier","-","-","10%","?","40%","?","75%","","","","","","","",""
"LBC","Limit Break Damage Up","-","5%?","5%?","20%?","20%?","30%?","30%?","40%?","40%?","50%?","","","","",""
"LBC","Quick Cast 1","-","-","-","-","Quick Cast 1","Quick Cast 1","Quick Cast 1","Quick Cast 1","Quick Cast 1","Quick Cast 1","","","","",""
"CSB+","Damage Reduction Barrier","-","-","?","?","75%","","","","","","","","","",""
"CSB+","ATB Reduction","-","-","-","-","-","-","-","-","-","200% ATB 1","","","","",""
"DASB","Cast Time Down","x1.03","x1.05?","x2.00","x2.50?","x3.00?","","","","","","","","","",""
"DASB","Damage Up","-","-","?","?","?","?","?","","","","","","","",""
"DASB","Heal Boost","5%","?","9%","?","?","","","","","","","","","",""
"DASB","Damage Reduction Barrier","-","-","10%","?","40%?","?","75%?","","","","","","","",""
"ZSB","Cast Time Down","x1.03","x1.05?","x2.00?","x2.50?","x3.00?","","","","","","","","","",""
"ZSB","Damage Up","","","5%","20%","30%","40%","50%","","","","","","","",""
"Soulbreak Bonus Passive Reference:","","","","","","","","","","","","","","","",""
"* Cast Time Down: Increases cast speed of soulbreak entry by X based on the soulbreak honing level","","","","","","","","","","","","","","","",""
"* Damage Up: Increases soulbreak entry damage dealt by X% based on the soulbreak honing level","","","","","","","","","","","","","","","",""
"* Damage Reduction Barrier: Grants X% Damage Reduction Barrier 1 to the user based on the soulbreak honing level","","","","","","","","","","","","","","","",""
"* Dual Blink 1: Grants Dual Blink 1 to the user, applied after the soulbreak finishes casting","","","","","","","","","","","","","","","",""
"* Extra Usage: Increases the limit on the number of times the soulbreak can be cast in a dungeon by X","","","","","","","","","","","","","","","",""
"* Heal Boost: Increases soulbreak entry healing by X% based on the soulbreak honing level","","","","","","","","","","","","","","","",""
"* SB Gauge Down: Reduces the soulbreak gauge cost of the soulbreak by X amount","","","","","","","","","","","","","","","",""
"* Stat Boon: Grants Soulbreak Hone Stat Boon X (25s) to the user at based on the soulbreak honing level after casting the soulbreak entry","","","","","","","","","","","","","","","",""
"* Guardian Summon Damage Up: Grants Guardian Summon +X% Boost based on the limit break honing level","","","","","","","","","","","","","","","",""
"* ATB Reduction: Grants status based on the soulbreak honing level","","","","","","","","","","","","","","","",""
