"ID 1210 1211 1212 1213 1214 1215 1216 1217 1218 1219 1220 1221 1222 1223 1224 1225 1226 1227 1228 1229 10000 10001 10002 10003 10004 10005 10006 10007 10008 10009 10100 10101 10102 10103 10104 10105 10106 10107 10108 10109 11000 11001 11002 11003 11004 11005 11006 11007 11008 11009 11100 11101 11102 11103 11104 11105 11106 11107 11108 11109 200 201 202 203 204","Common Name Imperil Holy 40% (5s) Imperil Dark 40% (5s) Imperil Fire 40% (5s) Imperil Wind 40% (5s) Imperil Lightning 40% (5s) Imperil Water 40% (5s) Imperil Ice 40% (5s) Imperil Earth 40% (5s) Imperil Poison 40% (5s) Imperil Holy 20% (5s) Imperil Dark 20% (5s) Imperil Fire 20% (5s) Imperil Wind 20% (5s) Imperil Lightning 20% (5s) Imperil Water 20% (5s) Imperil Ice 20% (5s) Imperil Earth 20% (5s) Imperil Poison 20% (5s) Deshell =0 Deshell 10% (5s) Deshell 20% (5s) Deshell 30% (5s) Deshell 40% (5s) Deshell 50% (5s) Deshell 60% (5s) Deshell 10% (15s) Deshell 20% (15s) Deprotect =0 Deprotect 10% (5s) Deprotect 20% (5s) Deprotect 30% (5s) Deprotect 40% (5s) Deprotect 50% (5s) Deprotect 60% (5s) Deprotect 10% (15s) Deprotect 20% (15s) Poison Silence Paralyze Confuse Haste","Effects Holy Resistance -40%, cumulable Dark Resistance -40%, cumulable Fire Resistance -40%, cumulable Wind Resistance -40%, cumulable Lightning Resistance -40%, cumulable Water Resistance -40%, cumulable Ice Resistance -40%, cumulable Earth Resistance -40%, cumulable Poison Resistance -40%, cumulable Holy Resistance -20%, cumulable Dark Resistance -20%, cumulable Fire Resistance -20%, cumulable Wind Resistance -20%, cumulable Lightning Resistance -20%, cumulable Water Resistance -20%, cumulable Ice Resistance -20%, cumulable Earth Resistance -20%, cumulable Poison Resistance -20%, cumulable Removes all Deshell statuses when set Increases magical damage taken by 10%, cumulable Increases magical damage taken by 20%, cumulable Increases magical damage taken by 30%, cumulable Increases magical damage taken by 40%, cumulable Increases magical damage taken by 50%, cumulable Increases magical damage taken by 60%, cumulable Increases magical damage taken by 10%, cumulable Increases magical damage taken by 20%, cumulable Removes all Deprotect statuses when set Increases physical damage taken by 10%, cumulable Increases physical damage taken by 20%, cumulable Increases physical damage taken by 30%, cumulable Increases physical damage taken by 40%, cumulable Increases physical damage taken by 50%, cumulable Increases physical damage taken by 60%, cumulable Increases physical damage taken by 10%, cumulable Increases physical damage taken by 20%, cumulable Damages for 1/64 maximum HP every 5.00 seconds, persists after battle Disables BLK, WHT, BLU and SUM actions, persists after battle Prevents from acting Forces default action (Attack for characters), affects targeting (single: 50% random enemy, 50% random ally; group: 50% all enemies, 50% all allies), resets ATB when set or removed, removed upon taking damage by PHY attacks ATB speed x2.00","Default Duration 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds - 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 15 seconds 15 seconds - 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 5 seconds 15 seconds 15 seconds - 20 seconds 15 seconds 30 seconds -","MND Modifier - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - ± 2,50% ± 2,00% ± 2,50% -","Exclusive Status - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Low Regen, Medium Regen, High Regen, Sap, Phantom Regen, Regenga - All ""Retaliate"" statuses All ""Retaliate"" statuses, Rage, Green Cherry, Ability Berserk Slow","Coded Name INCREASE_ELEMENT_DEF_HOLY_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_DARK_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_FIRE_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_WIND_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_LIGHTNING_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_WATER_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_ICE_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_EARTH_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_POISON_M4_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_HOLY_M2_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_DARK_M2_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_FIRE_M2_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_WIND_M2_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_LIGHTNING_M2_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_WATER_M2_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_ICE_M2_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_EARTH_M2_TIME_SMALL_5000 INCREASE_ELEMENT_DEF_POISON_M2_TIME_SMALL_5000 UNSET_DESHELL INCREASE_DESHELL_LEVEL_1_TIME_SMALL_5000 INCREASE_DESHELL_LEVEL_2_TIME_SMALL_5000 INCREASE_DESHELL_LEVEL_3_TIME_SMALL_5000 INCREASE_DESHELL_LEVEL_4_TIME_SMALL_5000 INCREASE_DESHELL_LEVEL_5_TIME_SMALL_5000 INCREASE_DESHELL_LEVEL_6_TIME_SMALL_5000 INCREASE_DESHELL_LEVEL_1_TIME_MEDIUM INCREASE_DESHELL_LEVEL_2_TIME_MEDIUM UNSET_DEPROTECT INCREASE_DEPROTECT_LEVEL_1_TIME_SMALL_5000 INCREASE_DEPROTECT_LEVEL_2_TIME_SMALL_5000 INCREASE_DEPROTECT_LEVEL_3_TIME_SMALL_5000 INCREASE_DEPROTECT_LEVEL_4_TIME_SMALL_5000 INCREASE_DEPROTECT_LEVEL_5_TIME_SMALL_5000 INCREASE_DEPROTECT_LEVEL_6_TIME_SMALL_5000 INCREASE_DEPROTECT_LEVEL_1_TIME_MEDIUM INCREASE_DEPROTECT_LEVEL_2_TIME_MEDIUM POISON SILENCE PARALYSIS CONFUSION HASTE","Notes - - - - - - - - - - - - - - - - - - - - - - -"
"205","Slow","ATB speed x0.50","20 seconds","0.005%","Haste, Infinite Haste","SLOW","-"
"206","Stop","Arrests ATB charge rate, prevents from acting","6 seconds","± 2,00%","All ""Retaliate"" statuses","STOP","-"
"207","Protect","DEF +100% (ignoring the buff stacking caps)","-","-","-","PROTECT","-"
"208","Shell","RES +100% (ignoring the buff stacking caps)","-","-","-","SHELL","-"
"209","Reflect","Redirect single-target BLK and WHT actions to a random member of the opposite group","35 seconds","3.00%","-","REFLECTION","-"
"210","Blind","ACC -50%, reduces hit rate by 75%, persists after battle, base duration is 30 seconds for characters","60 seconds","± 2,00%","Eye Power","BLINDED","-"
"211","Sleep","Arrests ATB charge rate, prevents from acting, removed upon taking damage by PHY attacks","30 seconds","± 2,00%","All ""Retaliate"" statuses","SLEEP","-"
"212","Petrify","Arrests ATB charge rate, prevents from acting, resets ATB when set, counts towards Game Over, persists after battle","-","-","All","PETRIFACTION","-"
"213","Doom: 60","Causes [Doom] with a 60 seconds timer","-","-","-","SET_DOOM_60","-"
"214","Instant KO","Causes [KO] when set","-","-","-","INSTANT_DEATH","-"
"215","Berserk","ATK +25%, forces default action (Attack for characters), affects targeting (single: random enemy/ally; group: all enemies/allies if the action's auto-target group is enemies/allies)","20 seconds","± 2,50%","All ""Retaliate"" statuses, Rage, Green Cherry, Ability Berserk, Confuse","BERSERKER","-"
"216","Low Regen","Heals for 3% maximum HP every 3.00 seconds","30 seconds","3.00%","Medium Regen, High Regen, Poison, Sap, Zombie, Regenga","REGEN","-"
"217","","","","","","",""
"218","Float","Dummy status","","","","LEVITATE","Not used"
"219","Weak","Dummy status","","","","WEAKENED","Not used"
"220","Zombie","Dummy status","","","","ZOMBIE","Not used"
"221","Mini","Dummy status","","","","MINIMUM","Not used"
"222","Toad","Dummy status","","","","TOAD","Not used"
"223","Curse","Dummy status","","","","CURSE","Not used"
"224","Slownumb","Dummy status","","","","GRADUAL_PETRIFACTION","Not used"
"225","Blink","Dummy status","","","","BLINK","Not used"
"226","Imp","Dummy status","","","","WATER_IMP","Not used"
"227","Vanish","Dummy status","","","","VANISH","Not used"
"228","Pig","Dummy status","","","","PORKY","Not used"
"229","Sap","Damages for 1/64 maximum HP every 2.00 seconds","40 seconds","-","Low Regen, Medium Regen, High Regen, Poison, Phantom Regen, Regenga","SAP","-"
"230","","","","","","",""
"231","Pyramid","Arrests ATB charge rate, prevents from acting, resets ATB when set, removed upon taking damage by PHY attacks, counts towards Game Over","-","-","All except KO","PYRAMID","Used for Reno (VII)"
"232","Prison Cage","Arrests ATB charge rate, prevents from acting, resets ATB when set, counts towards Game Over","30 seconds","-","All except KO, Low Regen, Medium Regen, High Regen, Regenga, HP Stock","PRISON_CAGE","Used for Prison Cage (IX)"
"233","Water Ball","Damages for 1/128 maximum HP every second, arrests ATB charge rate, prevents from acting, resets ATB when set, counts towards Game Over","-","-","All except KO","WATER_BALL","Used for Bottomswell (VII)"
"234","Possession","Affects certain bosses's behaviour","30 seconds","-","-","POSSESSION","Used for Gi Nattak (VII)"
"235","Stock Break","No gameplay effects","-","-","-","STOCK_BREAK","Used for Beartix (IX)"
"236","Doom: 30","Causes [Doom] with a 30 seconds timer","-","-","-","SET_DOOM_30","-"
"237","Doom: 45","Causes [Doom] with a 45 seconds timer","-","-","-","SET_DOOM_45","-"
"238","Doom: 90","Causes [Doom] with a 90 seconds timer","-","-","-","SET_DOOM_90","-"
"239","Doom: 120","Causes [Doom] with a 120 seconds timer","-","-","-","SET_DOOM_120","-"
"240","Triple","Affects certain bosses's behaviour","-","-","-","TRIPLE","Used for Cerberus (VIII)"
"241","Swallowed","Arrests ATB charge rate, prevents from acting, resets ATB when set, counts towards Game Over","-","-","All except KO","SWALLOWED","Used for Sand Worm (X)"
"242","Stun","Resets ATB when set","1 second","-","-","STAN","-"
"243","High Regen","Heals for 5% maximum HP every 2.50 seconds","35 seconds","3.00%","Low Regen, Medium Regen, Poison, Sap, Zombie, Regenga","REGEN_STRONG","-"
"244","Arm Catch","Arrests ATB charge rate, prevents from acting, resets ATB when set, counts towards Game Over","-","-","-","ARM_CATCH","Used for Carry Armor (VII)"
"245","Perma-Reflect","Redirect single-target BLK and WHT actions to a random member of the opposite group","-","-","-","REFLECTION_FULL_TIME","Used for Carbuncle (V), Nightmare Ultima Buster"
"246","Glyph Mine","Prevents [Doom] to cause [KO] if the characters has [Defend]","-","-","-","MAGICAL_MINE","Used for Spectral Keeper (X)"
"247","Medium Regen","Heals for 4% maximum HP every 2.50 seconds","30 seconds","3.00%","Low Regen, High Regen, Poison, Sap, Zombie, Regenga","REGEN_MIDDLE","-"
"248","[School] Cast Speed *X","Cast speed xX for [School] abilities, or any attack if no [School] is specified","-","-","-","CHANGE_CAST_TIME","-"
"249","Reraise: 40%","Automatically removes KO (40% HP), removed after triggering","-","-","-","RERAISE_40","-"
"250","Reraise: 60%","Automatically removes KO (60% HP), removed after triggering","-","-","Reraise: 40%","RERAISE_60","-"
"251","Reraise: 80%","Automatically removes KO (80% HP), removed after triggering","-","-","Reraise: 40%, Reraise: 60%","RERAISE_80","-"
"252","Reraise: 100%","Automatically removes KO (100% HP), removed after triggering","-","-","Reraise: 40%, Reraise: 60%, Reraise: 80%","RERAISE_100","-"
"253","Reraise","Prevents from acting","-","-","All","RERAISE_DEATH","???"
"254","","","","","","",""
"255","Void Target","Affects certain bosses's behaviour","-","-","-","TARGET_BUDDY","Used for Lady Amandine (XIV)"
"256","Deprecated Doom: 45","Causes [Doom] with a 45 seconds timer","-","-","-","SET_DOOM_45_DEPRECATED","Deprecated"
"257","No Air Time 2","Changes air time to 0.01 seconds","2 turns","-","-","ZERO_FLIGHT_BY_TURN_2","-"
"258","No Air Time 3","Changes air time to  0.01 seconds","3 turns","-","-","ZERO_FLIGHT_BY_TURN_3","-"
"259","HP Stock (X)","Automatically restores HP, up to X HP","-","-","-","HP_STOCK","-"
"260","Radiant Shield: 100%","Returns 100% of the damage taken to the attacker","30 seconds","-","-","RADIANT_SHIELD","-"
