"Character","Source","SB Ver","Img","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","GL","✓"
"Tyro","Zenith Transcendental Conversance","ZSB1","","Judgment Grimoire+","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.20","Three single ranged hybrid attacks (1.10 or 3.60)","Y","Lowest HP% enemy","120","Support","断撃のグリモア改
","30161252","","✓"
"Tyro","Zenith Transcendental Conversance","ZSB1","","Acicular Grimoire+","NAT","Single enemy","Hybrid","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.65","Five single ranged hybrid attacks (1.20/1.25 or 3.80/3.95) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Support","鋭鋒のグリモア改","30161322","","✓"
"Elarra","Zenith Magika Orare","ZSB1","","Fabula Heal+","WHT","All allies","","","","1.20","Restores HP (25), restores an ability use and grants [Quick Cast 1] every second use","N","All allies","100","White Magic","ファブラ・ヒール改","30121502","","✓"
"Biggs","Zenith Brave Slash","ZSB1","","Boulder Blow+","PHY","Single enemy","Physical","7.50","Earth, Holy, NE","1.20","One single attack (7.50) capped at 99999","Y","Lowest HP% enemy","90","Knight","オレ様流・聖岩裂斬改","30211332","","✓"
"Biggs","Zenith Brave Slash","ZSB1","","Unshackled Power+","PHY","Single enemy","Physical","7.20","Earth, Holy, NE","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Knight","オレ様流マッスル全開改","30211472","","✓"
"Wedge","Zenith Tornado Star","ZSB1","","Trickster+","NAT","Single enemy","Hybrid","","Wind","1.65","Six single ranged hybrid attacks (1.20/1.25 or 3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses, removes negative effects from all allies every four uses","N","Lowest HP% enemy","90","Black Magic","トリックスター改","30111572","","✓"
"Wedge","Zenith Tornado Star","ZSB1","","Star Drive+","NAT","Single enemy","Hybrid","","Wind","1.20","Seven single ranged hybrid attacks (1.10 or 3.60 each) capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","80","Thief","スタードライブ改","30201312","","✓"
"Dr. Mog","Zenith Archival Brilliance","ZSB1","","Dr. Mog's Secret+","BLK","Single enemy","Magical","14.40","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.65","Four single attacks (3.60/3.75 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","Dr.モグの秘技改","30111502","","✓"
"Dr. Mog","Zenith Archival Brilliance","ZSB1","","Dr. Mog's Trump Card+","SUM","Single enemy","Magical","26.80","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.20","One single attack (26.80) capped at 99999","Y","Lowest HP% enemy","90","Summoning","Dr.モグの切り札改","30131562","","✓"
"Dr. Mog","Zenith Archival Brilliance","ZSB1","","Dr. Mog's Water Vortex+","?","Single enemy","Magical","","Water","","Six single attacks (?/? each) capped at 9999/19999 after 0-2/3+ uses","?","Lowest HP% enemy","","Black Magic","Dr.モグの水渦改","30111792","",""
"Dr. Mog","Zenith Marine Expanse","ZSB2","","Dr. Mog's Secret+","BLK","Single enemy","Magical","14.40","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.65","Four single attacks (3.60/3.75 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","Dr.モグの秘技改","30111502","","✓"
"Dr. Mog","Zenith Marine Expanse","ZSB2","","Dr. Mog's Trump Card+","SUM","Single enemy","Magical","26.80","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.20","One single attack (26.80) capped at 99999","Y","Lowest HP% enemy","90","Summoning","Dr.モグの切り札改","30131562","","✓"
"Dr. Mog","Zenith Marine Expanse","ZSB2","","Dr. Mog's Water Vortex+","?","Single enemy","Magical","","Water","","Six single attacks (?/? each) capped at 9999/19999 after 0-2/3+ uses","?","Lowest HP% enemy","","Black Magic","Dr.モグの水渦改","30111792","",""
"Warrior of Light","Zenith Bitter End","ZSB1","","Radiant Sword+","PHY","Single enemy","Physical","4.40","Holy","1.65","Four single ranged attacks (1.10/1.15 each) after 0-2/3+ uses, grants [Buff Holy 10% (15s)] to all allies every second activation","Y","Lowest HP% enemy","90","Knight","レディアントソード改","30211212","","✓"
"Warrior of Light","Zenith Bitter End","ZSB1","","Crossover+","PHY","Single enemy","Physical","6.30","Holy","1.65","Six single attacks (1.05/1.10 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Knight","クロスオーバー改","30211372","","✓"
"Garland","Zenith Dark Rebirth","ZSB1","","Chaos Bringer+","PHY","Single enemy","Physical","6.00","Dark","1.65","Five single attacks  (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses, grants [ATK +30%, DEF and RES -30% (8s)] to the user","Y","Lowest HP% enemy","90","Darkness","カオスブリンガー改","30271282","","✓"
"Garland","Zenith Dark Rebirth","ZSB1","","Soul of Chaos+","?","Single enemy","Physical","","Dark","","Six single attacks (?/? each) capped at 9999/19999 after 0-2/3+ uses","?","Lowest HP% enemy","","Heavy","ソウルオブカオス改","30311172","",""
"Wol","Zenith Canyon Break","ZSB1","","Dancing Edge+","PHY","Single enemy","Physical","6.00","Earth, Holy","1.65","Five single attacks (1.20 each) capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Earth 10% (5s)] and [Imperil Holy 10% (5s)]","Y","Lowest HP% enemy","90","Knight","ダンシングエッジ改","30211402","","✓"
"Echo","Zenith Voice of Light","ZSB1","","Echo's Prize+","NAT","All allies","","","","1.65","Restores 3000 HP to all allies","N","All allies","100","Dancer","エコーのご褒美改","30251162","","✓"
"Master","Zenith Fighting Frenzy","ZSB1","","Fighting Frenzy+","PHY","Single enemy","Physical","6.25","Earth, Fire, Lightning","1.65","Five single attacks (1.25 each) capped at 9999/19999 after 0-2/3+ uses, causes [DEF, RES and MND -15% (8s)] to the user","Y","Lowest HP% enemy","90","Monk","闘魂乱舞改","30191382","","✓"
"Matoya","Zenith Crystal Power","ZSB1","","Inner Eye+","BLK","Single enemy","Magical","18.60","Fire, Ice, Lightning","1.65","Six single attacks (3.10 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Witch","真眼の魔女改","30301142","","✓"
"Meia","Zenith Surging Wave","ZSB1","","Pallida Mors+","BLK","Single enemy","Magical","22.80","Water","1.65","Six single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","パッリダ・モルス改","30111462","","✓"
"Thief (I)","Zenith Invisibreak","ZSB1","","Invisibreak+","PHY","Single enemy","","","Wind, Poison","1.20","Six single attacks (? each) capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","90","Thief","インビジブレイク改","30201242","",""
"Firion","Zenith Wild Rose Vow","ZSB1","","Wild Rose+","PHY","Single enemy","Physical","4.40","Holy, Ice, Fire","1.20","Four single attacks (1.10 each), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","90","Samurai","のばら改","30221212","","✓"
"Firion","Zenith Wild Rose Vow","ZSB1","","Lord of Arms+","PHY","Single enemy","Physical","6.00","Holy, Ice, Fire","1.65","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Samurai","ロードオブアームズ改","30221272","","✓"
"Firion","Zenith Wild Rose Vow","ZSB3","","Wild Rose+","PHY","Single enemy","Physical","4.40","Holy, Ice, Fire","1.20","Four single attacks (1.10 each), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","90","Samurai","のばら改","30221212","","✓"
"Firion","Zenith Wild Rose Vow","ZSB3","","Lord of Arms+ II","PHY","Single enemy","Physical","7.20","Holy, Ice, Fire","1.65","Six single attacks (1.20 each) ","Y","Lowest HP% enemy","90","Samurai","ロードオブアームズ改","30221273","","✓"
